file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	F81+G	-2430.15	"(A:0.2139388999,B:0.0225191483,(C:0.2921688787,D:0.0244409197):0.0201487365);"	0.2139388999	0.0225191483	0.2921688787	0.0244409197	0.0201487365	-2432.4001930963	"(A:0.1944906083,C:0.2780510832,(B:0.0287552072,D:0.0380475579):0.0202655454);"	0.1944906083	0.2780510832	0.0287552072	0.0380475579	0.0202655454	-2432.2569982777	"(A:0.2140353243,D:0.0353394537,(B:0.0217119679,C:0.2999686279):0.0102637335);"	0.2140353243	0.0353394537	0.0217119679	0.2999686279	0.0102637335
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	F81+G	-2428.61	"(A:0.2154136585,B:0.0256343162,(C:0.3044080765,D:0.0297012127):0.0124726106);"	0.2154136585	0.0256343162	0.3044080765	0.0297012127	0.0124726106	-2429.0162152729	"(A:0.1952689844,C:0.2866877271,(B:0.0292597219,D:0.0380553143):0.0192998936);"	0.1952689844	0.2866877271	0.0292597219	0.0380553143	0.0192998936	-2428.7264583682	"(A:0.2141304305,D:0.0346762835,(B:0.0212362125,C:0.3076919581):0.0119407816);"	0.2141304305	0.0346762835	0.0212362125	0.3076919581	0.0119407816
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	F81+G	-2393.44	"(A:0.2148951910,B:0.0208360192,(C:0.3021213390,D:0.0166658789):0.0136984602);"	0.2148951910	0.0208360192	0.3021213390	0.0166658789	0.0136984602	-2394.4523074197	"(A:0.1911681680,C:0.2792211346,(B:0.0253077309,D:0.0255569411):0.0238172474);"	0.1911681680	0.2792211346	0.0253077309	0.0255569411	0.0238172474	-2394.2195612645	"(A:0.2151889657,D:0.0230383353,(B:0.0167800490,C:0.3047231527):0.0114621947);"	0.2151889657	0.0230383353	0.0167800490	0.3047231527	0.0114621947
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	F81+G	-2412.33	"(A:0.2189829593,B:0.0186478586,(C:0.3065102615,D:0.0208749840):0.0189055204);"	0.2189829593	0.0186478586	0.3065102615	0.0208749840	0.0189055204	-2414.3425260715	"(A:0.1935524850,C:0.2865106850,(B:0.0237444570,D:0.0343183572):0.0250373405);"	0.1935524850	0.2865106850	0.0237444570	0.0343183572	0.0250373405	-2413.4485195499	"(A:0.2167370897,D:0.0312159593,(B:0.0112738722,C:0.3161431035):0.0160332419);"	0.2167370897	0.0312159593	0.0112738722	0.3161431035	0.0160332419
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	F81+G	-2394.02	"(A:0.2100317975,B:0.0284737366,(C:0.3144797276,D:0.0141575138):0.0116341042);"	0.2100317975	0.0284737366	0.3144797276	0.0141575138	0.0116341042	-2395.0189529469	"(A:0.1945399975,C:0.2966165496,(B:0.0323061580,D:0.0216959946):0.0167377050);"	0.1945399975	0.2966165496	0.0323061580	0.0216959946	0.0167377050	-2393.2731837013	"(A:0.2111798698,D:0.0182646468,(B:0.0187021508,C:0.3101303936):0.0172780565);"	0.2111798698	0.0182646468	0.0187021508	0.3101303936	0.0172780565
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	F81+G	-2398.64	"(A:0.2150261772,B:0.0254974279,(C:0.3046986438,D:0.0142118988):0.0175863353);"	0.2150261772	0.0254974279	0.3046986438	0.0142118988	0.0175863353	-2400.8690734210	"(A:0.2020275831,C:0.2917127603,(B:0.0313492770,D:0.0257965350):0.0149115330);"	0.2020275831	0.2917127603	0.0313492770	0.0257965350	0.0149115330	-2400.5673778050	"(A:0.2175029518,D:0.0237650556,(B:0.0246161750,C:0.3070913399):0.0091405907);"	0.2175029518	0.0237650556	0.0246161750	0.3070913399	0.0091405907
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	F81+G	-2257.96	"(A:0.2424489602,B:0.0206614457,(C:0.1475252179,D:0.0362393260):0.0106296392);"	0.2424489602	0.0206614457	0.1475252179	0.0362393260	0.0106296392	-2258.7347452843	"(A:0.2367976466,C:0.1427459098,(B:0.0282918492,D:0.0389118592):0.0072930441);"	0.2367976466	0.1427459098	0.0282918492	0.0389118592	0.0072930441	-2258.3969290129	"(A:0.2401284162,D:0.0341041034,(B:0.0263316487,C:0.1491661360):0.0069289457);"	0.2401284162	0.0341041034	0.0263316487	0.1491661360	0.0069289457
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	F81+G	-2244.82	"(A:0.2521028548,B:0.0235541355,(C:0.1470495435,D:0.0307590513):0.0137770992);"	0.2521028548	0.0235541355	0.1470495435	0.0307590513	0.0137770992	-2245.9264256909	"(A:0.2565394405,C:0.1497488685,(B:0.0343682911,D:0.0337191832):0.0000025659);"	0.2565394405	0.1497488685	0.0343682911	0.0337191832	0.0000025659	-2245.7228087759	"(A:0.2536641760,D:0.0297894282,(B:0.0327880905,C:0.1484711305):0.0054619621);"	0.2536641760	0.0297894282	0.0327880905	0.1484711305	0.0054619621
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	F81+G	-2221.05	"(A:0.2458489505,B:0.0189452374,(C:0.1560376202,D:0.0259734690):0.0062947596);"	0.2458489505	0.0189452374	0.1560376202	0.0259734690	0.0062947596	-2221.3572789299	"(A:0.2376722955,C:0.1484799193,(B:0.0236386531,D:0.0273001229):0.0084405903);"	0.2376722955	0.1484799193	0.0236386531	0.0273001229	0.0084405903	-2220.7503444437	"(A:0.2423470768,D:0.0220126574,(B:0.0209615734,C:0.1557967169):0.0081370902);"	0.2423470768	0.0220126574	0.0209615734	0.1557967169	0.0081370902
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	F81+G	-2239.37	"(A:0.2449029282,B:0.0176958745,(C:0.1530579897,D:0.0313663143):0.0095920860);"	0.2449029282	0.0176958745	0.1530579897	0.0313663143	0.0095920860	-2240.0796123606	"(A:0.2358954933,C:0.1455663929,(B:0.0244975384,D:0.0337959640):0.0096242427);"	0.2358954933	0.1455663929	0.0244975384	0.0337959640	0.0096242427	-2239.8172909344	"(A:0.2420496487,D:0.0293359402,(B:0.0224266408,C:0.1546969384):0.0067661514);"	0.2420496487	0.0293359402	0.0224266408	0.1546969384	0.0067661514
quartet011_A-Strepsiptera_B-Meloe_C-Drosophila_D-Sawfly.phy	F81+G	-2221.49	"(A:0.2493868863,B:0.0239061097,(C:0.1614822947,D:0.0267681263):0.0034525917);"	0.2493868863	0.0239061097	0.1614822947	0.0267681263	0.0034525917	-2221.6080071860	"(A:0.2504847135,C:0.1624978615,(B:0.0266440177,D:0.0274781091):0.0000023152);"	0.2504847135	0.1624978615	0.0266440177	0.0274781091	0.0000023152	-2219.1965910396	"(A:0.2413240346,D:0.0160240407,(B:0.0209729521,C:0.1579622631):0.0168736765);"	0.2413240346	0.0160240407	0.0209729521	0.1579622631	0.0168736765
quartet012_A-Strepsiptera_B-Meloe_C-Drosophila_D-Polistes.phy	F81+G	-2221.99	"(A:0.2504980038,B:0.0225172765,(C:0.1514200546,D:0.0229623821):0.0118244903);"	0.2504980038	0.0225172765	0.1514200546	0.0229623821	0.0118244903	-2223.1056741292	"(A:0.2559132217,C:0.1539026900,(B:0.0321378801,D:0.0252701063):0.0000025016);"	0.2559132217	0.1539026900	0.0321378801	0.0252701063	0.0000025016	-2222.6607804331	"(A:0.2527673962,D:0.0204433318,(B:0.0296474516,C:0.1517248143):0.0072873015);"	0.2527673962	0.0204433318	0.0296474516	0.1517248143	0.0072873015
quartet013_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Flea.phy	F81+G	-2393.71	"(A:0.2106936528,B:0.0139453819,(C:0.2702437534,D:0.0238002225):0.0102166205);"	0.2106936528	0.0139453819	0.2702437534	0.0238002225	0.0102166205	-2392.4074160609	"(A:0.1774295905,C:0.2407445710,(B:0.0166175687,D:0.0308553158):0.0315014757);"	0.1774295905	0.2407445710	0.0166175687	0.0308553158	0.0315014757	-2394.4513286144	"(A:0.2090568181,D:0.0279754563,(B:0.0133318533,C:0.2749852244):0.0066810962);"	0.2090568181	0.0279754563	0.0133318533	0.2749852244	0.0066810962
quartet014_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Scorpionfly.phy	F81+G	-2410.64	"(A:0.2092884317,B:0.0193340831,(C:0.2791428498,D:0.0311916224):0.0062000779);"	0.2092884317	0.0193340831	0.2791428498	0.0311916224	0.0062000779	-2409.1902931393	"(A:0.1799824437,C:0.2515111266,(B:0.0207028258,D:0.0353955441):0.0272952912);"	0.1799824437	0.2515111266	0.0207028258	0.0353955441	0.0272952912	-2409.6494173545	"(A:0.2059382600,D:0.0305665423,(B:0.0148358932,C:0.2804533641):0.0112456579);"	0.2059382600	0.0305665423	0.0148358932	0.2804533641	0.0112456579
quartet015_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Lacewing.phy	F81+G	-2360.39	"(A:0.2117668157,B:0.0122357998,(C:0.2793976126,D:0.0167732216):0.0067136807);"	0.2117668157	0.0122357998	0.2793976126	0.0167732216	0.0067136807	-2358.2396354183	"(A:0.1752670769,C:0.2442977123,(B:0.0138190888,D:0.0215122873):0.0343006626);"	0.1752670769	0.2442977123	0.0138190888	0.0215122873	0.0343006626	-2359.5147222891	"(A:0.2092572589,D:0.0176843658,(B:0.0080615281,C:0.2811782245):0.0099165500);"	0.2092572589	0.0176843658	0.0080615281	0.2811782245	0.0099165500
quartet016_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Antlion.phy	F81+G	-2381.06	"(A:0.2108239880,B:0.0121035077,(C:0.2756613489,D:0.0221163487):0.0082145857);"	0.2108239880	0.0121035077	0.2756613489	0.0221163487	0.0082145857	-2379.0246272543	"(A:0.1741665544,C:0.2421774029,(B:0.0137879103,D:0.0281952955):0.0344677720);"	0.1741665544	0.2421774029	0.0137879103	0.0281952955	0.0344677720	-2380.8154399370	"(A:0.2076991343,D:0.0244129473,(B:0.0085031959,C:0.2799264853):0.0094653218);"	0.2076991343	0.0244129473	0.0085031959	0.2799264853	0.0094653218
quartet017_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Sawfly.phy	F81+G	-2341.94	"(A:0.2054833646,B:0.0145238136,(C:0.2792340008,D:0.0128675365):0.0028667619);"	0.2054833646	0.0145238136	0.2792340008	0.0128675365	0.0028667619	-2338.7006078241	"(A:0.1689426485,C:0.2422683180,(B:0.0153517919,D:0.0145823751):0.0345023663);"	0.1689426485	0.2422683180	0.0153517919	0.0145823751	0.0345023663	-2339.2607033255	"(A:0.2035215688,D:0.0102990383,(B:0.0081958423,C:0.2760316696):0.0117021526);"	0.2035215688	0.0102990383	0.0081958423	0.2760316696	0.0117021526
quartet018_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Polistes.phy	F81+G	-2367.28	"(A:0.2111647511,B:0.0159660691,(C:0.2809985337,D:0.0141967928):0.0109045018);"	0.2111647511	0.0159660691	0.2809985337	0.0141967928	0.0109045018	-2367.1745023719	"(A:0.1805834417,C:0.2517722393,(B:0.0187872153,D:0.0219210877):0.0301003705);"	0.1805834417	0.2517722393	0.0187872153	0.0219210877	0.0301003705	-2367.6935052346	"(A:0.2106003068,D:0.0181626686,(B:0.0123844333,C:0.2833037063):0.0105549368);"	0.2106003068	0.0181626686	0.0123844333	0.2833037063	0.0105549368
