file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	F81	-2463.53	(A:0.1639436293,B:0.0247266161,(C:0.2093632048,D:0.0238135502):0.0168122011);	0.1639436293	0.0247266161	0.2093632048	0.0238135502	0.0168122011	-2455.1329529003	(A:0.1329556745,C:0.1817329668,(B:0.0305427207,D:0.0328883813):0.0388544329);	0.1329556745	0.1817329668	0.0305427207	0.0328883813	0.0388544329	-2467.8912073505	(A:0.1647975747,D:0.0304780443,(B:0.0248149680,C:0.2116261341):0.0102318819);	0.1647975747	0.0304780443	0.0248149680	0.2116261341	0.0102318819
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	F81	-2465.93	(A:0.1630734688,B:0.0267222590,(C:0.2125002493,D:0.0274889816):0.0117216934);	0.1630734688	0.0267222590	0.2125002493	0.0274889816	0.0117216934	-2453.3260412344	(A:0.1307951868,C:0.1830793872,(B:0.0301467058,D:0.0335032716):0.0385353715);	0.1307951868	0.1830793872	0.0301467058	0.0335032716	0.0385353715	-2466.4631661872	(A:0.1627187052,D:0.0305296578,(B:0.0244648445,C:0.2132989263):0.0109040890);	0.1627187052	0.0305296578	0.0244648445	0.2132989263	0.0109040890
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	F81	-2427.53	(A:0.1663328327,B:0.0216826229,(C:0.2169379012,D:0.0170545626):0.0117153884);	0.1663328327	0.0216826229	0.2169379012	0.0170545626	0.0117153884	-2414.6622996108	(A:0.1315184063,C:0.1840152852,(B:0.0261242566,D:0.0229512332):0.0420700253);	0.1315184063	0.1840152852	0.0261242566	0.0229512332	0.0420700253	-2429.2089208626	(A:0.1673210030,D:0.0209055683,(B:0.0194547492,C:0.2172773432):0.0102208205);	0.1673210030	0.0209055683	0.0194547492	0.2172773432	0.0102208205
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	F81	-2448.82	(A:0.1658390851,B:0.0216787745,(C:0.2160454801,D:0.0199989716):0.0153871230);	0.1658390851	0.0216787745	0.2160454801	0.0199989716	0.0153871230	-2437.3981980784	(A:0.1303757405,C:0.1841267193,(B:0.0266131974,D:0.0289220372):0.0432132727);	0.1303757405	0.1841267193	0.0266131974	0.0289220372	0.0432132727	-2451.8761033886	(A:0.1662235686,D:0.0262670469,(B:0.0184107040,C:0.2184543522):0.0125170486);	0.1662235686	0.0262670469	0.0184107040	0.2184543522	0.0125170486
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	F81	-2429.84	(A:0.1610972692,B:0.0265736801,(C:0.2180325582,D:0.0170555019):0.0100315644);	0.1610972692	0.0265736801	0.2180325582	0.0170555019	0.0100315644	-2417.5762960661	(A:0.1288323916,C:0.1871273568,(B:0.0305141693,D:0.0214129013):0.0399925675);	0.1288323916	0.1871273568	0.0305141693	0.0214129013	0.0399925675	-2428.5154990312	(A:0.1624138109,D:0.0188719521,(B:0.0209071351,C:0.2163466094):0.0138673932);	0.1624138109	0.0188719521	0.0209071351	0.2163466094	0.0138673932
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	F81	-2434.32	(A:0.1632388841,B:0.0254560127,(C:0.2124289444,D:0.0172555646):0.0137032324);	0.1632388841	0.0254560127	0.2124289444	0.0172555646	0.0137032324	-2424.6127930639	(A:0.1322139802,C:0.1830506270,(B:0.0305458111,D:0.0241395360):0.0390893575);	0.1322139802	0.1830506270	0.0305458111	0.0241395360	0.0390893575	-2438.1872536879	(A:0.1652998330,D:0.0226807475,(B:0.0250349288,C:0.2135196225):0.0091605908);	0.1652998330	0.0226807475	0.0250349288	0.2135196225	0.0091605908
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	F81	-2293.9	(A:0.1681463604,B:0.0225701524,(C:0.1170209637,D:0.0296021151):0.0114575394);	0.1681463604	0.0225701524	0.1170209637	0.0296021151	0.0114575394	-2287.7475821771	(A:0.1513168193,C:0.0980991485,(B:0.0293475677,D:0.0329318206):0.0249084638);	0.1513168193	0.0980991485	0.0293475677	0.0329318206	0.0249084638	-2293.8251527795	(A:0.1670468222,D:0.0278864750,(B:0.0252607545,C:0.1173255151):0.0103590294);	0.1670468222	0.0278864750	0.0252607545	0.1173255151	0.0103590294
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	F81	-2285.15	(A:0.1660237990,B:0.0254748263,(C:0.1142717165,D:0.0261220022):0.0129723999);	0.1660237990	0.0254748263	0.1142717165	0.0261220022	0.0129723999	-2280.7250286326	(A:0.1514077656,C:0.0967014911,(B:0.0330963024,D:0.0296618483):0.0232994025);	0.1514077656	0.0967014911	0.0330963024	0.0296618483	0.0232994025	-2286.8666133783	(A:0.1666159348,D:0.0253073702,(B:0.0294124823,C:0.1143981874):0.0097200776);	0.1666159348	0.0253073702	0.0294124823	0.1143981874	0.0097200776
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	F81	-2257.6	(A:0.1698656812,B:0.0198298265,(C:0.1228107327,D:0.0210767695):0.0080090758);	0.1698656812	0.0198298265	0.1228107327	0.0210767695	0.0080090758	-2248.3233725500	(A:0.1499736167,C:0.1003322895,(B:0.0249707038,D:0.0232005090):0.0276311815);	0.1499736167	0.1003322895	0.0249707038	0.0232005090	0.0276311815	-2256.0334496944	(A:0.1691832170,D:0.0186436066,(B:0.0204617187,C:0.1220618109):0.0098488890);	0.1691832170	0.0186436066	0.0204617187	0.1220618109	0.0098488890
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	F81	-2275.83	(A:0.1688503651,B:0.0203899075,(C:0.1209704546,D:0.0250737636):0.0100777739);	0.1688503651	0.0203899075	0.1209704546	0.0250737636	0.0100777739	-2268.0993812347	(A:0.1498740847,C:0.0998130254,(B:0.0263068650,D:0.0282607453):0.0271360080);	0.1498740847	0.0998130254	0.0263068650	0.0282607453	0.0271360080	-2276.1131715428	(A:0.1683159136,D:0.0238230707,(B:0.0218967629,C:0.1214484747):0.0098708793);	0.1683159136	0.0238230707	0.0218967629	0.1214484747	0.0098708793
