file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	GTR+G	-2405.96	"(A:0.2297635219,B:0.0230717118,(C:0.3175679260,D:0.0247364884):0.0200882572);"	0.2297635219	0.0230717118	0.3175679260	0.0247364884	0.0200882572	-2407.2960586721	"(A:0.2084396530,C:0.3008987502,(B:0.0296231711,D:0.0378132007):0.0206201087);"	0.2084396530	0.3008987502	0.0296231711	0.0378132007	0.0206201087	-2407.8871198764	"(A:0.2313364980,D:0.0375594173,(B:0.0294325532,C:0.3246849573):0.0010839556);"	0.2313364980	0.0375594173	0.0294325532	0.3246849573	0.0010839556
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	GTR+G	-2404.06	"(A:0.2321928913,B:0.0273297566,(C:0.3344513368,D:0.0300769008):0.0111443306);"	0.2321928913	0.0273297566	0.3344513368	0.0300769008	0.0111443306	-2404.0901761212	"(A:0.2119425720,C:0.3153796889,(B:0.0307122851,D:0.0372325733):0.0184683052);"	0.2119425720	0.3153796889	0.0307122851	0.0372325733	0.0184683052	-2404.4909189920	"(A:0.2325075372,D:0.0367585845,(B:0.0297804724,C:0.3370636822):0.0019943326);"	0.2325075372	0.0367585845	0.0297804724	0.3370636822	0.0019943326
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	GTR+G	-2370.3	"(A:0.2294558299,B:0.0223988060,(C:0.3226933349,D:0.0197344033):0.0090685136);"	0.2294558299	0.0223988060	0.3226933349	0.0197344033	0.0090685136	-2370.2307802073	"(A:0.2069213643,C:0.3007252805,(B:0.0256921561,D:0.0250851398):0.0213506071);"	0.2069213643	0.3007252805	0.0256921561	0.0250851398	0.0213506071	-2370.7595254408	"(A:0.2302424894,D:0.0240481005,(B:0.0231930904,C:0.3245330850):0.0040379935);"	0.2302424894	0.0240481005	0.0231930904	0.3245330850	0.0040379935
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	GTR+G	-2386.82	"(A:0.2368002619,B:0.0196594782,(C:0.3326211862,D:0.0230815483):0.0157631534);"	0.2368002619	0.0196594782	0.3326211862	0.0230815483	0.0157631534	-2387.5740110231	"(A:0.2129019238,C:0.3125659667,(B:0.0246454827,D:0.0333810650):0.0224776806);"	0.2129019238	0.3125659667	0.0246454827	0.0333810650	0.0224776806	-2388.0259205338	"(A:0.2368123501,D:0.0318436826,(B:0.0208652670,C:0.3379837687):0.0058544903);"	0.2368123501	0.0318436826	0.0208652670	0.3379837687	0.0058544903
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	GTR+G	-2369.8	"(A:0.2270206047,B:0.0313863556,(C:0.3396470196,D:0.0183005017):0.0048607036);"	0.2270206047	0.0313863556	0.3396470196	0.0183005017	0.0048607036	-2369.7065593658	"(A:0.2117070379,C:0.3229986917,(B:0.0332267464,D:0.0209199324):0.0142589774);"	0.2117070379	0.3229986917	0.0332267464	0.0209199324	0.0142589774	-2369.6943624044	"(A:0.2276286527,D:0.0193437434,(B:0.0279891793,C:0.3377070334):0.0072669534);"	0.2276286527	0.0193437434	0.0279891793	0.3377070334	0.0072669534
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	GTR+G	-2373.99	"(A:0.2346548387,B:0.0283696925,(C:0.3371721332,D:0.0152412860):0.0140960652);"	0.2346548387	0.0283696925	0.3371721332	0.0152412860	0.0140960652	-2374.7280367685	"(A:0.2233331576,C:0.3252980429,(B:0.0337882767,D:0.0235830263):0.0112600654);"	0.2233331576	0.3252980429	0.0337882767	0.0235830263	0.0112600654	-2374.8625642555	"(A:0.2362183045,D:0.0236733186,(B:0.0339738437,C:0.3389075818):0.0000020427);"	0.2362183045	0.0236733186	0.0339738437	0.3389075818	0.0000020427
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	GTR+G	-2231.05	"(A:0.2787511058,B:0.0178889359,(C:0.1591048274,D:0.0378151131):0.0129775174);"	0.2787511058	0.0178889359	0.1591048274	0.0378151131	0.0129775174	-2231.8106468621	"(A:0.2803549975,C:0.1623388086,(B:0.0277572684,D:0.0409107312):0.0000020175);"	0.2803549975	0.1623388086	0.0277572684	0.0409107312	0.0000020175	-2231.7312008626	"(A:0.2782296161,D:0.0381454837,(B:0.0266650301,C:0.1617404251):0.0037782043);"	0.2782296161	0.0381454837	0.0266650301	0.1617404251	0.0037782043
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	GTR+G	-2218.63	"(A:0.2912761996,B:0.0210731945,(C:0.1598491604,D:0.0316074527):0.0167593233);"	0.2912761996	0.0210731945	0.1598491604	0.0316074527	0.0167593233	-2219.5366119664	"(A:0.2940792652,C:0.1625530023,(B:0.0347102587,D:0.0347164345):0.0000028721);"	0.2940792652	0.1625530023	0.0347102587	0.0347164345	0.0000028721	-2219.4016870515	"(A:0.2916765808,D:0.0304318553,(B:0.0333359324,C:0.1614655555):0.0055804317);"	0.2916765808	0.0304318553	0.0333359324	0.1614655555	0.0055804317
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	GTR+G	-2195.51	"(A:0.2828902650,B:0.0185439186,(C:0.1670583476,D:0.0286281913):0.0041620490);"	0.2828902650	0.0185439186	0.1670583476	0.0286281913	0.0041620490	-2195.6336832608	"(A:0.2834671304,C:0.1680657123,(B:0.0219288445,D:0.0294081342):0.0000020728);"	0.2834671304	0.1680657123	0.0219288445	0.0294081342	0.0000020728	-2195.3153892681	"(A:0.2791481683,D:0.0244764062,(B:0.0197462091,C:0.1668569919):0.0069987086);"	0.2791481683	0.0244764062	0.0197462091	0.1668569919	0.0069987086
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	GTR+G	-2211.78	"(A:0.2873925116,B:0.0162943022,(C:0.1657775715,D:0.0342022112):0.0084648730);"	0.2873925116	0.0162943022	0.1657775715	0.0342022112	0.0084648730	-2212.1653301044	"(A:0.2879172578,C:0.1679522171,(B:0.0225867412,D:0.0363256690):0.0000020892);"	0.2879172578	0.1679522171	0.0225867412	0.0363256690	0.0000020892	-2212.0796583453	"(A:0.2854407737,D:0.0335579619,(B:0.0214812924,C:0.1674621595):0.0037938074);"	0.2854407737	0.0335579619	0.0214812924	0.1674621595	0.0037938074
