file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	GTR	-2441.98	(A:0.1665859584,B:0.0244740655,(C:0.2123329637,D:0.0241723615):0.0164490962);	0.1665859584	0.0244740655	0.2123329637	0.0241723615	0.0164490962	-2432.1923267755	(A:0.1341075160,C:0.1841803498,(B:0.0306473663,D:0.0326200046):0.0394809924);	0.1341075160	0.1841803498	0.0306473663	0.0326200046	0.0394809924	-2446.7241297072	(A:0.1678741792,D:0.0309089668,(B:0.0270333955,C:0.2148351208):0.0074386656);	0.1678741792	0.0309089668	0.0270333955	0.2148351208	0.0074386656
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	GTR	-2444.45	(A:0.1655288859,B:0.0267443324,(C:0.2157242134,D:0.0275653322):0.0113741649);	0.1655288859	0.0267443324	0.2157242134	0.0275653322	0.0113741649	-2430.9502624576	(A:0.1319481615,C:0.1856552761,(B:0.0303278474,D:0.0331500177):0.0391126703);	0.1319481615	0.1856552761	0.0303278474	0.0331500177	0.0391126703	-2445.3811621974	(A:0.1653994964,D:0.0308773762,(B:0.0266516810,C:0.2164119858):0.0082241566);	0.1653994964	0.0308773762	0.0266516810	0.2164119858	0.0082241566
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	GTR	-2406.47	(A:0.1690554021,B:0.0221296604,(C:0.2197272379,D:0.0177540220):0.0102284359);	0.1690554021	0.0221296604	0.2197272379	0.0177540220	0.0102284359	-2392.5125469241	(A:0.1332260628,C:0.1869815445,(B:0.0262937581,D:0.0225587509):0.0418526557);	0.1332260628	0.1869815445	0.0262937581	0.0225587509	0.0418526557	-2407.8141765434	(A:0.1700689839,D:0.0209772836,(B:0.0215971722,C:0.2200431277):0.0077776320);	0.1700689839	0.0209772836	0.0215971722	0.2200431277	0.0077776320
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	GTR	-2425.69	(A:0.1688200127,B:0.0219544516,(C:0.2192487478,D:0.0206451344):0.0140413756);	0.1688200127	0.0219544516	0.2192487478	0.0206451344	0.0140413756	-2413.1081238591	(A:0.1324273976,C:0.1872723363,(B:0.0268007407,D:0.0284811393):0.0430667577);	0.1324273976	0.1872723363	0.0268007407	0.0284811393	0.0430667577	-2428.7143955517	(A:0.1695933543,D:0.0263094357,(B:0.0212553460,C:0.2213053486):0.0094207605);	0.1695933543	0.0263094357	0.0212553460	0.2213053486	0.0094207605
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	GTR	-2408.27	(A:0.1640054011,B:0.0275287678,(C:0.2211389023,D:0.0179462386):0.0079596200);	0.1640054011	0.0275287678	0.2211389023	0.0179462386	0.0079596200	-2394.4851566479	(A:0.1304078722,C:0.1899738065,(B:0.0309252482,D:0.0208129264):0.0399527515);	0.1304078722	0.1899738065	0.0309252482	0.0208129264	0.0399527515	-2407.3863364840	(A:0.1650088590,D:0.0190150137,(B:0.0237873618,C:0.2193999054):0.0107073112);	0.1650088590	0.0190150137	0.0237873618	0.2193999054	0.0107073112
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	GTR	-2412.76	(A:0.1659872633,B:0.0262239103,(C:0.2158476065,D:0.0175025533):0.0123628800);	0.1659872633	0.0262239103	0.2158476065	0.0175025533	0.0123628800	-2401.0346419393	(A:0.1335794630,C:0.1859348394,(B:0.0311334034,D:0.0233391464):0.0393076756);	0.1335794630	0.1859348394	0.0311334034	0.0233391464	0.0393076756	-2415.8650487034	(A:0.1680831652,D:0.0228791748,(B:0.0282704961,C:0.2170337884):0.0055092202);	0.1680831652	0.0228791748	0.0282704961	0.2170337884	0.0055092202
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	GTR	-2270.73	(A:0.1705311941,B:0.0223645466,(C:0.1177294134,D:0.0296640028):0.0116452627);	0.1705311941	0.0223645466	0.1177294134	0.0296640028	0.0116452627	-2267.3118194533	(A:0.1550449086,C:0.1011106979,(B:0.0294167665,D:0.0330564808):0.0224306711);	0.1550449086	0.1011106979	0.0294167665	0.0330564808	0.0224306711	-2271.3724884527	(A:0.1696510033,D:0.0280559370,(B:0.0257280362,C:0.1181963379):0.0097735687);	0.1696510033	0.0280559370	0.0257280362	0.1181963379	0.0097735687
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	GTR	-2263.35	(A:0.1685021791,B:0.0255755565,(C:0.1151909851,D:0.0256995477):0.0131677344);	0.1685021791	0.0255755565	0.1151909851	0.0256995477	0.0131677344	-2260.9278863231	(A:0.1548672236,C:0.0994862063,(B:0.0333399467,D:0.0294667737):0.0213127898);	0.1548672236	0.0994862063	0.0333399467	0.0294667737	0.0213127898	-2264.7558716031	(A:0.1690011011,D:0.0247130713,(B:0.0299673558,C:0.1153316850):0.0096651422);	0.1690011011	0.0247130713	0.0299673558	0.1153316850	0.0096651422
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	GTR	-2235.25	(A:0.1721243895,B:0.0202998308,(C:0.1234910649,D:0.0212722038):0.0072376031);	0.1721243895	0.0202998308	0.1234910649	0.0212722038	0.0072376031	-2229.1841711298	(A:0.1541448262,C:0.1038850354,(B:0.0249668655,D:0.0232599517):0.0243002228);	0.1541448262	0.1038850354	0.0249668655	0.0232599517	0.0243002228	-2233.7981638872	(A:0.1714115115,D:0.0185598681,(B:0.0207573714,C:0.1227386338):0.0095948733);	0.1714115115	0.0185598681	0.0207573714	0.1227386338	0.0095948733
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	GTR	-2252.04	(A:0.1714646888,B:0.0209045601,(C:0.1217998765,D:0.0251297308):0.0093783932);	0.1714646888	0.0209045601	0.1217998765	0.0251297308	0.0093783932	-2247.1184905763	(A:0.1542904401,C:0.1032486683,(B:0.0263380419,D:0.0282922478):0.0239473580);	0.1542904401	0.1032486683	0.0263380419	0.0282922478	0.0239473580	-2252.2575189102	(A:0.1709455107,D:0.0238155133,(B:0.0224720532,C:0.1222337043):0.0092178211);	0.1709455107	0.0238155133	0.0224720532	0.1222337043	0.0092178211
