file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	HKY+G	-2409.44	"(A:0.2290870223,B:0.0225290622,(C:0.3143242266,D:0.0231675162):0.0217082940);"	0.2290870223	0.0225290622	0.3143242266	0.0231675162	0.0217082940	-2411.3849616322	"(A:0.2116165866,C:0.3019599497,(B:0.0299499055,D:0.0371318344):0.0175099251);"	0.2116165866	0.3019599497	0.0299499055	0.0371318344	0.0175099251	-2411.8124406565	"(A:0.2312385533,D:0.0372025342,(B:0.0303705225,C:0.3223024799):0.0000026149);"	0.2312385533	0.0372025342	0.0303705225	0.3223024799	0.0000026149
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	HKY+G	-2406.28	"(A:0.2347651679,B:0.0271366310,(C:0.3362441379,D:0.0282166553):0.0128455028);"	0.2347651679	0.0271366310	0.3362441379	0.0282166553	0.0128455028	-2406.6498150476	"(A:0.2192267639,C:0.3223058052,(B:0.0313454904,D:0.0363954137):0.0145111574);"	0.2192267639	0.3223058052	0.0313454904	0.0363954137	0.0145111574	-2406.8841658767	"(A:0.2355984230,D:0.0362617787,(B:0.0309687989,C:0.3395631796):0.0009275894);"	0.2355984230	0.0362617787	0.0309687989	0.3395631796	0.0009275894
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	HKY+G	-2373.01	"(A:0.2298229232,B:0.0234762825,(C:0.3271222826,D:0.0175537549):0.0101507228);"	0.2298229232	0.0234762825	0.3271222826	0.0175537549	0.0101507228	-2373.2574682772	"(A:0.2098898600,C:0.3072002417,(B:0.0273160558,D:0.0235032973):0.0191470777);"	0.2098898600	0.3072002417	0.0273160558	0.0235032973	0.0191470777	-2373.7222443542	"(A:0.2313274799,D:0.0230675017,(B:0.0262176911,C:0.3294269420):0.0019920971);"	0.2313274799	0.0230675017	0.0262176911	0.3294269420	0.0019920971
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	HKY+G	-2389.91	"(A:0.2367541677,B:0.0208296152,(C:0.3370382333,D:0.0207456892):0.0168825801);"	0.2367541677	0.0208296152	0.3370382333	0.0207456892	0.0168825801	-2391.0757189240	"(A:0.2164720978,C:0.3203122349,(B:0.0263039136,D:0.0317646693):0.0193155937);"	0.2164720978	0.3203122349	0.0263039136	0.0317646693	0.0193155937	-2391.4117703361	"(A:0.2375861483,D:0.0307461251,(B:0.0231624524,C:0.3430842300):0.0046334042);"	0.2375861483	0.0307461251	0.0231624524	0.3430842300	0.0046334042
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	HKY+G	-2372.6	"(A:0.2266040860,B:0.0325103228,(C:0.3391990565,D:0.0166861532):0.0049290787);"	0.2266040860	0.0325103228	0.3391990565	0.0166861532	0.0049290787	-2372.6123636526	"(A:0.2150204809,C:0.3262365374,(B:0.0345374565,D:0.0192771736):0.0110524030);"	0.2150204809	0.3262365374	0.0345374565	0.0192771736	0.0110524030	-2372.5525945810	"(A:0.2274952440,D:0.0179355019,(B:0.0296721951,C:0.3376330775):0.0065892982);"	0.2274952440	0.0179355019	0.0296721951	0.3376330775	0.0065892982
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	HKY+G	-2376.46	"(A:0.2351001414,B:0.0293636076,(C:0.3362850776,D:0.0146294683):0.0133310993);"	0.2351001414	0.0293636076	0.3362850776	0.0146294683	0.0133310993	-2377.1978461024	"(A:0.2276728201,C:0.3277839555,(B:0.0348475406,D:0.0222178739):0.0081835881);"	0.2276728201	0.3277839555	0.0348475406	0.0222178739	0.0081835881	-2377.2665768172	"(A:0.2370612699,D:0.0222891031,(B:0.0349579321,C:0.3376620626):0.0000022756);"	0.2370612699	0.0222891031	0.0349579321	0.3376620626	0.0000022756
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	HKY+G	-2234.35	"(A:0.2789500515,B:0.0159309000,(C:0.1575537166,D:0.0380421395):0.0141646463);"	0.2789500515	0.0159309000	0.1575537166	0.0380421395	0.0141646463	-2235.3868569151	"(A:0.2812694047,C:0.1611580814,(B:0.0268334591,D:0.0413448779):0.0000020339);"	0.2812694047	0.1611580814	0.0268334591	0.0413448779	0.0000020339	-2235.3438415008	"(A:0.2794511182,D:0.0392497584,(B:0.0260740544,C:0.1607900969):0.0027809046);"	0.2794511182	0.0392497584	0.0260740544	0.1607900969	0.0027809046
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	HKY+G	-2220.74	"(A:0.2959556152,B:0.0186678901,(C:0.1594687200,D:0.0318979817):0.0183786762);"	0.2959556152	0.0186678901	0.1594687200	0.0318979817	0.0183786762	-2221.8814519027	"(A:0.3004896123,C:0.1626121172,(B:0.0338435286,D:0.0351683731):0.0000028745);"	0.3004896123	0.1626121172	0.0338435286	0.0351683731	0.0000028745	-2221.7652605844	"(A:0.2980162741,D:0.0310395589,(B:0.0326535497,C:0.1616609038):0.0052360023);"	0.2980162741	0.0310395589	0.0326535497	0.1616609038	0.0052360023
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	HKY+G	-2197.79	"(A:0.2809583960,B:0.0186375962,(C:0.1673683811,D:0.0277246277):0.0048718505);"	0.2809583960	0.0186375962	0.1673683811	0.0277246277	0.0048718505	-2197.9885972828	"(A:0.2820417827,C:0.1685752681,(B:0.0226435897,D:0.0286370036):0.0000021441);"	0.2820417827	0.1685752681	0.0226435897	0.0286370036	0.0000021441	-2197.6312474593	"(A:0.2775249068,D:0.0233566049,(B:0.0203645195,C:0.1673343802):0.0074389988);"	0.2775249068	0.0233566049	0.0203645195	0.1673343802	0.0074389988
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	HKY+G	-2214.38	"(A:0.2851880840,B:0.0159898043,(C:0.1657190105,D:0.0331229135):0.0097049669);"	0.2851880840	0.0159898043	0.1657190105	0.0331229135	0.0097049669	-2214.9675708236	"(A:0.2867059293,C:0.1682608876,(B:0.0233703671,D:0.0354650112):0.0000021497);"	0.2867059293	0.1682608876	0.0233703671	0.0354650112	0.0000021497	-2214.8419442638	"(A:0.2834906198,D:0.0319768864,(B:0.0219926697,C:0.1675830398):0.0047494950);"	0.2834906198	0.0319768864	0.0219926697	0.1675830398	0.0047494950
quartet011_A-Strepsiptera_B-Meloe_C-Drosophila_D-Sawfly.phy	HKY+G	-2197.6	"(A:0.2847725499,B:0.0249415148,(C:0.1738505045,D:0.0292465503):0.0000027798);"	0.2847725499	0.0249415148	0.1738505045	0.0292465503	0.0000027798	-2197.5955149660	"(A:0.2848262341,C:0.1739142009,(B:0.0249669948,D:0.0293122728):0.0000029883);"	0.2848262341	0.1739142009	0.0249669948	0.0293122728	0.0000029883	-2195.8775464004	"(A:0.2753941232,D:0.0160257988,(B:0.0192702078,C:0.1711286963):0.0188648332);"	0.2753941232	0.0160257988	0.0192702078	0.1711286963	0.0188648332
quartet012_A-Strepsiptera_B-Meloe_C-Drosophila_D-Polistes.phy	HKY+G	-2198.34	"(A:0.2903221664,B:0.0245544949,(C:0.1651187682,D:0.0251267316):0.0079448861);"	0.2903221664	0.0245544949	0.1651187682	0.0251267316	0.0079448861	-2198.6297617844	"(A:0.2925582721,C:0.1663840136,(B:0.0312518313,D:0.0263822575):0.0000029305);"	0.2925582721	0.1663840136	0.0312518313	0.0263822575	0.0000029305	-2198.1755957243	"(A:0.2888260919,D:0.0196047347,(B:0.0284078109,C:0.1644764517):0.0095629797);"	0.2888260919	0.0196047347	0.0284078109	0.1644764517	0.0095629797
