file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	HKY	-2445.57	(A:0.1660479075,B:0.0246682749,(C:0.2116767975,D:0.0234948075):0.0168669976);	0.1660479075	0.0246682749	0.2116767975	0.0234948075	0.0168669976	-2436.6521561698	(A:0.1344813267,C:0.1839592354,(B:0.0310103860,D:0.0322532086):0.0386471724);	0.1344813267	0.1839592354	0.0310103860	0.0322532086	0.0386471724	-2451.0641407816	(A:0.1675956595,D:0.0307593259,(B:0.0276223193,C:0.2142741419):0.0070232259);	0.1675956595	0.0307593259	0.0276223193	0.2142741419	0.0070232259
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	HKY	-2447.33	(A:0.1652833189,B:0.0268833128,(C:0.2152533876,D:0.0269134350):0.0117883401);	0.1652833189	0.0268833128	0.2152533876	0.0269134350	0.0117883401	-2434.2993418447	(A:0.1323137104,C:0.1854676041,(B:0.0307007400,D:0.0327287021):0.0385156383);	0.1323137104	0.1854676041	0.0307007400	0.0327287021	0.0385156383	-2448.8224077474	(A:0.1654110269,D:0.0305950257,(B:0.0271347836,C:0.2160710538):0.0079608833);	0.1654110269	0.0305950257	0.0271347836	0.2160710538	0.0079608833
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	HKY	-2409.65	(A:0.1684087345,B:0.0226505233,(C:0.2195440293,D:0.0170650184):0.0104103857);	0.1684087345	0.0226505233	0.2195440293	0.0170650184	0.0104103857	-2395.9907217114	(A:0.1331115109,C:0.1868402734,(B:0.0268505386,D:0.0220460046):0.0414400146);	0.1331115109	0.1868402734	0.0268505386	0.0220460046	0.0414400146	-2411.7668350575	(A:0.1697995190,D:0.0206793434,(B:0.0225506297,C:0.2198763480):0.0072058179);	0.1697995190	0.0206793434	0.0225506297	0.2198763480	0.0072058179
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	HKY	-2429.32	(A:0.1680629739,B:0.0224864490,(C:0.2188477496,D:0.0199215919):0.0142719449);	0.1680629739	0.0224864490	0.2188477496	0.0199215919	0.0142719449	-2417.1642764878	(A:0.1322470971,C:0.1870281128,(B:0.0273889180,D:0.0279584306):0.0425731293);	0.1322470971	0.1870281128	0.0273889180	0.0279584306	0.0425731293	-2433.1880167014	(A:0.1692027368,D:0.0259876479,(B:0.0219960812,C:0.2208727406):0.0091146252);	0.1692027368	0.0259876479	0.0219960812	0.2208727406	0.0091146252
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	HKY	-2411.21	(A:0.1636128452,B:0.0281040873,(C:0.2209998763,D:0.0170651606):0.0081481828);	0.1636128452	0.0281040873	0.2209998763	0.0170651606	0.0081481828	-2397.8340748755	(A:0.1307888716,C:0.1900305587,(B:0.0315669423,D:0.0201562120):0.0392119367);	0.1307888716	0.1900305587	0.0315669423	0.0201562120	0.0392119367	-2410.7236813432	(A:0.1649222403,D:0.0183701453,(B:0.0245561822,C:0.2191157844):0.0105233456);	0.1649222403	0.0183701453	0.0245561822	0.2191157844	0.0105233456
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	HKY	-2415.54	(A:0.1657702656,B:0.0267311205,(C:0.2155914264,D:0.0169571675):0.0123243490);	0.1657702656	0.0267311205	0.2155914264	0.0169571675	0.0123243490	-2404.2295449945	(A:0.1342136265,C:0.1859363495,(B:0.0316939853,D:0.0227818146):0.0385019499);	0.1342136265	0.1859363495	0.0316939853	0.0227818146	0.0385019499	-2418.6869279217	(A:0.1680714116,D:0.0222695537,(B:0.0286876034,C:0.2165526228):0.0056399054);	0.1680714116	0.0222695537	0.0286876034	0.2165526228	0.0056399054
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	HKY	-2274.09	(A:0.1704383053,B:0.0217770337,(C:0.1174724587,D:0.0298008316):0.0119482406);	0.1704383053	0.0217770337	0.1174724587	0.0298008316	0.0119482406	-2270.7090618963	(A:0.1553477094,C:0.1009655674,(B:0.0291428855,D:0.0331794225):0.0220728631);	0.1553477094	0.1009655674	0.0291428855	0.0331794225	0.0220728631	-2275.0573137708	(A:0.1694474131,D:0.0281796101,(B:0.0252454306,C:0.1181294914):0.0099800335);	0.1694474131	0.0281796101	0.0252454306	0.1181294914	0.0099800335
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	HKY	-2265.91	(A:0.1685812342,B:0.0246226221,(C:0.1150261605,D:0.0259491662):0.0137157311);	0.1685812342	0.0246226221	0.1150261605	0.0259491662	0.0137157311	-2263.6931710722	(A:0.1553001758,C:0.0994897417,(B:0.0329063667,D:0.0297253921):0.0209385480);	0.1553001758	0.0994897417	0.0329063667	0.0297253921	0.0209385480	-2267.7789386165	(A:0.1690310522,D:0.0250199141,(B:0.0292494468,C:0.1153820536):0.0098980824);	0.1690310522	0.0250199141	0.0292494468	0.1153820536	0.0098980824
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	HKY	-2237.58	(A:0.1719725092,B:0.0200320276,(C:0.1234412926,D:0.0212765188):0.0074397142);	0.1719725092	0.0200320276	0.1234412926	0.0212765188	0.0074397142	-2231.3164898650	(A:0.1541198883,C:0.1037691393,(B:0.0248614562,D:0.0232931243):0.0242487633);	0.1541198883	0.1037691393	0.0248614562	0.0232931243	0.0242487633	-2236.3426850727	(A:0.1712921506,D:0.0185649451,(B:0.0204351303,C:0.1228023556):0.0098439292);	0.1712921506	0.0185649451	0.0204351303	0.1228023556	0.0098439292
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	HKY	-2254.7	(A:0.1712426368,B:0.0204128563,(C:0.1216958176,D:0.0250979430):0.0098499384);	0.1712426368	0.0204128563	0.1216958176	0.0250979430	0.0098499384	-2249.8441637560	(A:0.1542300294,C:0.1031829923,(B:0.0261673244,D:0.0283813116):0.0238888543);	0.1542300294	0.1031829923	0.0261673244	0.0283813116	0.0238888543	-2255.2620426024	(A:0.1707284789,D:0.0238440993,(B:0.0218764618,C:0.1223123295):0.0097107805);	0.1707284789	0.0238440993	0.0218764618	0.1223123295	0.0097107805
