file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	JC+G	-2440.86	"(A:0.2146785755,B:0.0222922150,(C:0.2918182477,D:0.0254904933):0.0197555424);"	0.2146785755	0.0222922150	0.2918182477	0.0254904933	0.0197555424	-2442.9103263603	"(A:0.1936955412,C:0.2766059243,(B:0.0285361227,D:0.0386468130):0.0216317877);"	0.1936955412	0.2766059243	0.0285361227	0.0386468130	0.0216317877	-2442.8095076919	"(A:0.2144849327,D:0.0358583299,(B:0.0215546299,C:0.3001073529):0.0103389166);"	0.2144849327	0.0358583299	0.0215546299	0.3001073529	0.0103389166
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	JC+G	-2439.67	"(A:0.2154213661,B:0.0261927822,(C:0.3048303322,D:0.0304445350):0.0115982377);"	0.2154213661	0.0261927822	0.3048303322	0.0304445350	0.0115982377	-2439.9393754532	"(A:0.1952702231,C:0.2869156543,(B:0.0295679345,D:0.0381570792):0.0194133383);"	0.1952702231	0.2869156543	0.0295679345	0.0381570792	0.0194133383	-2439.5709636512	"(A:0.2141396037,D:0.0347653807,(B:0.0214223466,C:0.3077327760):0.0120899418);"	0.2141396037	0.0347653807	0.0214223466	0.3077327760	0.0120899418
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	JC+G	-2404.17	"(A:0.2163648249,B:0.0210004944,(C:0.3044620639,D:0.0172441396):0.0133304439);"	0.2163648249	0.0210004944	0.3044620639	0.0172441396	0.0133304439	-2404.9816561294	"(A:0.1916640794,C:0.2808070361,(B:0.0252708392,D:0.0259399826):0.0246069781);"	0.1916640794	0.2808070361	0.0252708392	0.0259399826	0.0246069781	-2404.6251947474	"(A:0.2164218978,D:0.0233242753,(B:0.0162256529,C:0.3073310829):0.0121039280);"	0.2164218978	0.0233242753	0.0162256529	0.3073310829	0.0121039280
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	JC+G	-2422.98	"(A:0.2211682458,B:0.0188558477,(C:0.3099276910,D:0.0212824627):0.0187310986);"	0.2211682458	0.0188558477	0.3099276910	0.0212824627	0.0187310986	-2424.8274901278	"(A:0.1958308782,C:0.2898699845,(B:0.0238249871,D:0.0346648668):0.0250014861);"	0.1958308782	0.2898699845	0.0238249871	0.0346648668	0.0250014861	-2423.8021984556	"(A:0.2188530965,D:0.0312758361,(B:0.0113282667,C:0.3194180726):0.0163581403);"	0.2188530965	0.0312758361	0.0113282667	0.3194180726	0.0163581403
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	JC+G	-2405.13	"(A:0.2109806404,B:0.0283335013,(C:0.3151520469,D:0.0155242161):0.0107865770);"	0.2109806404	0.0283335013	0.3151520469	0.0155242161	0.0107865770	-2405.8706475419	"(A:0.1940728703,C:0.2965177616,(B:0.0319353477,D:0.0224110077):0.0178383273);"	0.1940728703	0.2965177616	0.0319353477	0.0224110077	0.0178383273	-2404.0433073574	"(A:0.2116257331,D:0.0189079044,(B:0.0180212022,C:0.3116071595):0.0176839649);"	0.2116257331	0.0189079044	0.0180212022	0.3116071595	0.0176839649
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	JC+G	-2410.02	"(A:0.2162672658,B:0.0257172802,(C:0.3058144319,D:0.0146183101):0.0173447626);"	0.2162672658	0.0257172802	0.3058144319	0.0146183101	0.0173447626	-2412.1170234997	"(A:0.2025638920,C:0.2916799036,(B:0.0318595146,D:0.0256480541):0.0157381266);"	0.2025638920	0.2916799036	0.0318595146	0.0256480541	0.0157381266	-2411.8556050871	"(A:0.2190015976,D:0.0236646323,(B:0.0251641822,C:0.3080487216):0.0090886449);"	0.2190015976	0.0236646323	0.0251641822	0.3080487216	0.0090886449
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	JC+G	-2267.43	"(A:0.2416735448,B:0.0205422468,(C:0.1467395964,D:0.0366106093):0.0107389001);"	0.2416735448	0.0205422468	0.1467395964	0.0366106093	0.0107389001	-2268.1539065388	"(A:0.2337636363,C:0.1394514024,(B:0.0282731933,D:0.0391766178):0.0096237829);"	0.2337636363	0.1394514024	0.0282731933	0.0391766178	0.0096237829	-2267.9504458827	"(A:0.2396024295,D:0.0345771899,(B:0.0265951924,C:0.1484528377):0.0065531414);"	0.2396024295	0.0345771899	0.0265951924	0.1484528377	0.0065531414
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	JC+G	-2255.14	"(A:0.2504225173,B:0.0245189122,(C:0.1465068243,D:0.0309539071):0.0129421890);"	0.2504225173	0.0245189122	0.1465068243	0.0309539071	0.0129421890	-2256.1127030653	"(A:0.2551152938,C:0.1489621586,(B:0.0348444458,D:0.0335858601):0.0000029980);"	0.2551152938	0.1489621586	0.0348444458	0.0335858601	0.0000029980	-2255.8446708125	"(A:0.2517871780,D:0.0293046709,(B:0.0330419967,C:0.1474758719):0.0060021476);"	0.2517871780	0.0293046709	0.0330419967	0.1474758719	0.0060021476
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	JC+G	-2230.65	"(A:0.2460732941,B:0.0191084186,(C:0.1560499004,D:0.0262544553):0.0061995750);"	0.2460732941	0.0191084186	0.1560499004	0.0262544553	0.0061995750	-2230.8454427075	"(A:0.2356871237,C:0.1461020060,(B:0.0237599841,D:0.0274588211):0.0105397872);"	0.2356871237	0.1461020060	0.0237599841	0.0274588211	0.0105397872	-2230.2845722137	"(A:0.2424364610,D:0.0219944896,(B:0.0211793618,C:0.1557103989):0.0082740821);"	0.2424364610	0.0219944896	0.0211793618	0.1557103989	0.0082740821
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	JC+G	-2249.2	"(A:0.2456779963,B:0.0181188049,(C:0.1533350507,D:0.0315675616):0.0093386462);"	0.2456779963	0.0181188049	0.1533350507	0.0315675616	0.0093386462	-2249.7576239655	"(A:0.2350674285,C:0.1436682706,(B:0.0248555320,D:0.0337457253):0.0113743690);"	0.2350674285	0.1436682706	0.0248555320	0.0337457253	0.0113743690	-2249.5404729436	"(A:0.2429689891,D:0.0290244014,(B:0.0228397549,C:0.1546730305):0.0070391324);"	0.2429689891	0.0290244014	0.0228397549	0.1546730305	0.0070391324
