file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	JC	-2474.73	(A:0.1638007173,B:0.0247071140,(C:0.2085851792,D:0.0242087656):0.0166713856);	0.1638007173	0.0247071140	0.2085851792	0.0242087656	0.0166713856	-2465.8740174365	(A:0.1327760713,C:0.1808935147,(B:0.0305102792,D:0.0330167991):0.0391369425);	0.1327760713	0.1808935147	0.0305102792	0.0330167991	0.0391369425	-2478.8961725140	(A:0.1645395175,D:0.0305274551,(B:0.0249916204,C:0.2108433568):0.0102338389);	0.1645395175	0.0305274551	0.0249916204	0.2108433568	0.0102338389
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	JC	-2477.43	(A:0.1626469774,B:0.0269813280,(C:0.2119438649,D:0.0276810532):0.0115018030);	0.1626469774	0.0269813280	0.2119438649	0.0276810532	0.0115018030	-2464.5213962169	(A:0.1304840193,C:0.1825458145,(B:0.0303279590,D:0.0334193380):0.0386568184);	0.1304840193	0.1825458145	0.0303279590	0.0334193380	0.0386568184	-2477.6219572838	(A:0.1623156094,D:0.0305241880,(B:0.0246469872,C:0.2125267626):0.0109408392);	0.1623156094	0.0305241880	0.0246469872	0.2125267626	0.0109408392
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	JC	-2439.2	(A:0.1660953420,B:0.0217743010,(C:0.2164332681,D:0.0173039189):0.0115800210);	0.1660953420	0.0217743010	0.2164332681	0.0173039189	0.0115800210	-2425.7220218317	(A:0.1310728867,C:0.1835108782,(B:0.0260328617,D:0.0231258993):0.0424240207);	0.1310728867	0.1835108782	0.0260328617	0.0231258993	0.0424240207	-2440.4926240745	(A:0.1669054702,D:0.0210616982,(B:0.0193832803,C:0.2168136591):0.0103252739);	0.1669054702	0.0210616982	0.0193832803	0.2168136591	0.0103252739
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	JC	-2460.59	(A:0.1657199128,B:0.0217044077,(C:0.2154442441,D:0.0203162550):0.0152548340);	0.1657199128	0.0217044077	0.2154442441	0.0203162550	0.0152548340	-2448.6768471079	(A:0.1301926530,C:0.1835055478,(B:0.0265310599,D:0.0290922446):0.0434979463);	0.1301926530	0.1835055478	0.0265310599	0.0290922446	0.0434979463	-2463.2963758895	(A:0.1659655190,D:0.0263132031,(B:0.0185427133,C:0.2178373072):0.0125410298);	0.1659655190	0.0263132031	0.0185427133	0.2178373072	0.0125410298
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	JC	-2441.59	(A:0.1609358229,B:0.0265570448,(C:0.2173178931,D:0.0174922445):0.0098458694);	0.1609358229	0.0265570448	0.2173178931	0.0174922445	0.0098458694	-2428.7689896703	(A:0.1285327502,C:0.1864431452,(B:0.0303678886,D:0.0216455467):0.0403088023);	0.1285327502	0.1864431452	0.0303678886	0.0216455467	0.0403088023	-2439.9293969392	(A:0.1620583163,D:0.0190511926,(B:0.0209416558,C:0.2157764274):0.0138594273);	0.1620583163	0.0190511926	0.0209416558	0.2157764274	0.0138594273
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	JC	-2446.43	(A:0.1630182677,B:0.0255987904,(C:0.2117843776,D:0.0174595341):0.0135762165);	0.1630182677	0.0255987904	0.2117843776	0.0174595341	0.0135762165	-2436.2278593576	(A:0.1321349571,C:0.1821060446,(B:0.0309297500,D:0.0238326166):0.0394070680);	0.1321349571	0.1821060446	0.0309297500	0.0238326166	0.0394070680	-2450.2092260272	(A:0.1653035673,D:0.0224789564,(B:0.0255261687,C:0.2126052756):0.0090922438);	0.1653035673	0.0224789564	0.0255261687	0.2126052756	0.0090922438
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	JC	-2303.58	(A:0.1682168615,B:0.0223158031,(C:0.1165467306,D:0.0299084065):0.0115251901);	0.1682168615	0.0223158031	0.1165467306	0.0299084065	0.0115251901	-2297.0371811564	(A:0.1514066828,C:0.0972721812,(B:0.0293229082,D:0.0330130206):0.0251743030);	0.1514066828	0.0972721812	0.0293229082	0.0330130206	0.0251743030	-2303.5678007937	(A:0.1670699068,D:0.0277775658,(B:0.0255247019,C:0.1168640642):0.0103201252);	0.1670699068	0.0277775658	0.0255247019	0.1168640642	0.0103201252
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	JC	-2295.52	(A:0.1657051508,B:0.0257085787,(C:0.1141069729,D:0.0261465174):0.0128673749);	0.1657051508	0.0257085787	0.1141069729	0.0261465174	0.0128673749	-2290.4923059189	(A:0.1512278069,C:0.0960649525,(B:0.0335528856,D:0.0292647414):0.0235280978);	0.1512278069	0.0960649525	0.0335528856	0.0292647414	0.0235280978	-2296.8071710030	(A:0.1665577822,D:0.0249497796,(B:0.0298143626,C:0.1138003475):0.0098219760);	0.1665577822	0.0249497796	0.0298143626	0.1138003475	0.0098219760
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	JC	-2267.71	(A:0.1698708574,B:0.0197034273,(C:0.1224901766,D:0.0212772956):0.0080308285);	0.1698708574	0.0197034273	0.1224901766	0.0212772956	0.0080308285	-2257.9227991510	(A:0.1499421754,C:0.0996644776,(B:0.0250230583,D:0.0232010453):0.0279111412);	0.1499421754	0.0996644776	0.0250230583	0.0232010453	0.0279111412	-2265.9937419446	(A:0.1691710019,D:0.0184758856,(B:0.0206810348,C:0.1216893057):0.0098870110);	0.1691710019	0.0184758856	0.0206810348	0.1216893057	0.0098870110
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	JC	-2286.31	(A:0.1688707337,B:0.0203149434,(C:0.1206631219,D:0.0252626910):0.0100743714);	0.1688707337	0.0203149434	0.1206631219	0.0252626910	0.0100743714	-2277.9851256170	(A:0.1499422596,C:0.0990344095,(B:0.0264960082,D:0.0281252619):0.0274290847);	0.1499422596	0.0990344095	0.0264960082	0.0281252619	0.0274290847	-2286.3918494818	(A:0.1684401843,D:0.0235214718,(B:0.0222554634,C:0.1209482203):0.0099250141);	0.1684401843	0.0235214718	0.0222554634	0.1209482203	0.0099250141
