file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	K2P+G	-2419.99	"(A:0.2285778983,B:0.0223420321,(C:0.3123879565,D:0.0245063423):0.0208971281);"	0.2285778983	0.0223420321	0.3123879565	0.0245063423	0.0208971281	-2421.7526156081	"(A:0.2095203038,C:0.2988450270,(B:0.0296204460,D:0.0377254109):0.0189789123);"	0.2095203038	0.2988450270	0.0296204460	0.0377254109	0.0189789123	-2422.2587041683	"(A:0.2306829546,D:0.0377975809,(B:0.0300976477,C:0.3207712572):0.0000023618);"	0.2306829546	0.0377975809	0.0300976477	0.3207712572	0.0000023618
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	K2P+G	-2417.35	"(A:0.2328364607,B:0.0278215138,(C:0.3334501508,D:0.0292075839):0.0113991295);"	0.2328364607	0.0278215138	0.3334501508	0.0292075839	0.0113991295	-2417.5642058997	"(A:0.2164004650,C:0.3184408792,(B:0.0314876083,D:0.0364594103):0.0154323254);"	0.2164004650	0.3184408792	0.0314876083	0.0364594103	0.0154323254	-2417.8219647060	"(A:0.2335557722,D:0.0359814634,(B:0.0304342577,C:0.3365011818):0.0020196850);"	0.2335557722	0.0359814634	0.0304342577	0.3365011818	0.0020196850
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	K2P+G	-2383.45	"(A:0.2301937154,B:0.0237290809,(C:0.3279633453,D:0.0183579997):0.0093897127);"	0.2301937154	0.0237290809	0.3279633453	0.0183579997	0.0093897127	-2383.5465468694	"(A:0.2089252811,C:0.3068730969,(B:0.0271687369,D:0.0239169489):0.0202604129);"	0.2089252811	0.3068730969	0.0271687369	0.0239169489	0.0202604129	-2384.0230461880	"(A:0.2314702272,D:0.0232595979,(B:0.0252981923,C:0.3303026757):0.0030188403);"	0.2314702272	0.0232595979	0.0252981923	0.3303026757	0.0030188403
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	K2P+G	-2400.28	"(A:0.2378394994,B:0.0213413353,(C:0.3390308482,D:0.0210878287):0.0163464056);"	0.2378394994	0.0213413353	0.3390308482	0.0210878287	0.0163464056	-2401.3033937217	"(A:0.2173807501,C:0.3217741241,(B:0.0266075704,D:0.0317609070):0.0195515407);"	0.2173807501	0.3217741241	0.0266075704	0.0317609070	0.0195515407	-2401.6039922801	"(A:0.2386607480,D:0.0305455318,(B:0.0231805017,C:0.3447228416):0.0051552468);"	0.2386607480	0.0305455318	0.0231805017	0.3447228416	0.0051552468
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	K2P+G	-2383.3	"(A:0.2264283571,B:0.0326854537,(C:0.3386210056,D:0.0181476377):0.0035975840);"	0.2264283571	0.0326854537	0.3386210056	0.0181476377	0.0035975840	-2383.2110472041	"(A:0.2131718457,C:0.3241977574,(B:0.0341363672,D:0.0199492711):0.0123842182);"	0.2131718457	0.3241977574	0.0341363672	0.0199492711	0.0123842182	-2383.1379367518	"(A:0.2269716127,D:0.0184633413,(B:0.0287671103,C:0.3369956130):0.0072862813);"	0.2269716127	0.0184633413	0.0287671103	0.3369956130	0.0072862813
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	K2P+G	-2387.57	"(A:0.2352797042,B:0.0298038563,(C:0.3357771087,D:0.0150574550):0.0127384811);"	0.2352797042	0.0298038563	0.3357771087	0.0150574550	0.0127384811	-2388.2196923771	"(A:0.2269765999,C:0.3261298927,(B:0.0352744032,D:0.0220504788):0.0090913863);"	0.2269765999	0.3261298927	0.0352744032	0.0220504788	0.0090913863	-2388.3033125012	"(A:0.2373700078,D:0.0221269648,(B:0.0354089704,C:0.3370656594):0.0000021952);"	0.2373700078	0.0221269648	0.0354089704	0.3370656594	0.0000021952
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	K2P+G	-2243.88	"(A:0.2763971944,B:0.0159638702,(C:0.1560460736,D:0.0383637149):0.0140788983);"	0.2763971944	0.0159638702	0.1560460736	0.0383637149	0.0140788983	-2244.9650083014	"(A:0.2789809240,C:0.1596958302,(B:0.0267933246,D:0.0416483174):0.0000025713);"	0.2789809240	0.1596958302	0.0267933246	0.0416483174	0.0000025713	-2244.9324426741	"(A:0.2775121704,D:0.0399409736,(B:0.0262040049,C:0.1594432090):0.0022538016);"	0.2775121704	0.0399409736	0.0262040049	0.1594432090	0.0022538016
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	K2P+G	-2231.13	"(A:0.2915371820,B:0.0198803367,(C:0.1579352231,D:0.0321248429):0.0172039767);"	0.2915371820	0.0198803367	0.1579352231	0.0321248429	0.0172039767	-2232.1788422888	"(A:0.2961904714,C:0.1609136694,(B:0.0342058353,D:0.0350691041):0.0000029031);"	0.2961904714	0.1609136694	0.0342058353	0.0350691041	0.0000029031	-2232.0256263250	"(A:0.2931438654,D:0.0305420206,(B:0.0327885737,C:0.1597658102):0.0058303521);"	0.2931438654	0.0305420206	0.0327885737	0.1597658102	0.0058303521
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	K2P+G	-2207.21	"(A:0.2810604235,B:0.0188558954,(C:0.1671201272,D:0.0279481432):0.0047379192);"	0.2810604235	0.0188558954	0.1671201272	0.0279481432	0.0047379192	-2207.4001750047	"(A:0.2822614896,C:0.1682932409,(B:0.0227908720,D:0.0288020331):0.0000028186);"	0.2822614896	0.1682932409	0.0227908720	0.0288020331	0.0000028186	-2207.0180708522	"(A:0.2774805153,D:0.0233319984,(B:0.0204937849,C:0.1669910193):0.0076322116);"	0.2774805153	0.0233319984	0.0204937849	0.1669910193	0.0076322116
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	K2P+G	-2223.96	"(A:0.2864711850,B:0.0166577007,(C:0.1659290310,D:0.0332140268):0.0092963293);"	0.2864711850	0.0166577007	0.1659290310	0.0332140268	0.0092963293	-2224.5009052814	"(A:0.2883502336,C:0.1682689957,(B:0.0238736325,D:0.0353251930):0.0000026984);"	0.2883502336	0.1682689957	0.0238736325	0.0353251930	0.0000026984	-2224.3475573224	"(A:0.2847984629,D:0.0313981588,(B:0.0224050727,C:0.1674914825):0.0052683929);"	0.2847984629	0.0313981588	0.0224050727	0.1674914825	0.0052683929
