file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	K2P	-2456.19	(A:0.1659151244,B:0.0246585947,(C:0.2110223113,D:0.0239185466):0.0167022578);	0.1659151244	0.0246585947	0.2110223113	0.0239185466	0.0167022578	-2446.8582715978	(A:0.1343128153,C:0.1832148020,(B:0.0309948419,D:0.0323808873):0.0389204984);	0.1343128153	0.1832148020	0.0309948419	0.0323808873	0.0389204984	-2461.5383858996	(A:0.1673614273,D:0.0308366181,(B:0.0277012241,C:0.2135884867):0.0071076421);	0.1673614273	0.0308366181	0.0277012241	0.2135884867	0.0071076421
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	K2P	-2458.31	(A:0.1648886401,B:0.0271700749,(C:0.2147952229,D:0.0271521261):0.0114963422);	0.1648886401	0.0271700749	0.2147952229	0.0271521261	0.0114963422	-2445.0011687676	(A:0.1320570160,C:0.1850302012,(B:0.0308783796,D:0.0326516013):0.0385902016);	0.1320570160	0.1850302012	0.0308783796	0.0326516013	0.0385902016	-2459.5077052278	(A:0.1649941450,D:0.0305452640,(B:0.0272141503,C:0.2154143438):0.0081378768);	0.1649941450	0.0305452640	0.0272141503	0.2154143438	0.0081378768
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	K2P	-2420.71	(A:0.1681978496,B:0.0227763960,(C:0.2191632094,D:0.0173733115):0.0101926043);	0.1681978496	0.0227763960	0.2191632094	0.0173733115	0.0101926043	-2406.4959554696	(A:0.1326731457,C:0.1864338337,(B:0.0267636666,D:0.0222276751):0.0417740122);	0.1326731457	0.1864338337	0.0267636666	0.0222276751	0.0417740122	-2422.4996171360	(A:0.1693725969,D:0.0208454975,(B:0.0223729215,C:0.2195017141):0.0074174306);	0.1693725969	0.0208454975	0.0223729215	0.2195017141	0.0074174306
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	K2P	-2440.47	(A:0.1679584496,B:0.0225748044,(C:0.2184106594,D:0.0202669196):0.0140623620);	0.1679584496	0.0225748044	0.2184106594	0.0202669196	0.0140623620	-2427.8496479199	(A:0.1320942507,C:0.1865419807,(B:0.0273479377,D:0.0281032945):0.0428197169);	0.1320942507	0.1865419807	0.0273479377	0.0281032945	0.0428197169	-2444.0073818481	(A:0.1689543715,D:0.0260576778,(B:0.0220379338,C:0.2203865314):0.0092177648);	0.1689543715	0.0260576778	0.0220379338	0.2203865314	0.0092177648
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	K2P	-2422.33	(A:0.1634652715,B:0.0281317475,(C:0.2204480398,D:0.0175507634):0.0078932712);	0.1634652715	0.0281317475	0.2204480398	0.0175507634	0.0078932712	-2408.4488471786	(A:0.1304859809,C:0.1894385367,(B:0.0314393061,D:0.0203897132):0.0395140786);	0.1304859809	0.1894385367	0.0314393061	0.0203897132	0.0395140786	-2421.5483928234	(A:0.1645708236,D:0.0185794998,(B:0.0244919029,C:0.2186314352):0.0106016320);	0.1645708236	0.0185794998	0.0244919029	0.2186314352	0.0106016320
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	K2P	-2427.04	(A:0.1655804122,B:0.0269249110,(C:0.2150850634,D:0.0171505792):0.0121690014);	0.1655804122	0.0269249110	0.2150850634	0.0171505792	0.0121690014	-2415.2701465443	(A:0.1341265153,C:0.1851036830,(B:0.0320826104,D:0.0224838598):0.0388085329);	0.1341265153	0.1851036830	0.0320826104	0.0224838598	0.0388085329	-2430.0838599712	(A:0.1680543476,D:0.0221052261,(B:0.0291095535,C:0.2158242392):0.0056090590);	0.1680543476	0.0221052261	0.0291095535	0.2158242392	0.0056090590
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	K2P	-2283.46	(A:0.1705129102,B:0.0215891607,(C:0.1170080741,D:0.0300897764):0.0119901774);	0.1705129102	0.0215891607	0.1170080741	0.0300897764	0.0119901774	-2279.8032569377	(A:0.1553555507,C:0.1000977075,(B:0.0291511510,D:0.0332642776):0.0223800405);	0.1553555507	0.1000977075	0.0291511510	0.0332642776	0.0223800405	-2284.5097669119	(A:0.1694969080,D:0.0281055935,(B:0.0254880161,C:0.1176630908):0.0099548752);	0.1694969080	0.0281055935	0.0254880161	0.1176630908	0.0099548752
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	K2P	-2276.04	(A:0.1682899115,B:0.0249416978,(C:0.1148561137,D:0.0259486150):0.0135629544);	0.1682899115	0.0249416978	0.1148561137	0.0259486150	0.0135629544	-2273.3126672953	(A:0.1550530780,C:0.0987837048,(B:0.0333965015,D:0.0293214597):0.0212226697);	0.1550530780	0.0987837048	0.0333965015	0.0293214597	0.0212226697	-2277.5035543266	(A:0.1689704521,D:0.0246184962,(B:0.0296353056,C:0.1147929417):0.0100693608);	0.1689704521	0.0246184962	0.0296353056	0.1147929417	0.0100693608
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	K2P	-2247.36	(A:0.1719966721,B:0.0199879141,(C:0.1231327131,D:0.0214601578):0.0074166121);	0.1719966721	0.0199879141	0.1231327131	0.0214601578	0.0074166121	-2240.7060200941	(A:0.1540127692,C:0.1030545995,(B:0.0249415049,D:0.0232957091):0.0245701586);	0.1540127692	0.1030545995	0.0249415049	0.0232957091	0.0245701586	-2245.9837267333	(A:0.1713008170,D:0.0184131193,(B:0.0206294083,C:0.1224305332):0.0099139680);	0.1713008170	0.0184131193	0.0206294083	0.1224305332	0.0099139680
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	K2P	-2264.85	(A:0.1712836043,B:0.0204379117,(C:0.1214022231,D:0.0252621378):0.0097952856);	0.1712836043	0.0204379117	0.1214022231	0.0252621378	0.0097952856	-2259.5278032534	(A:0.1542095306,C:0.1023581761,(B:0.0263949512,D:0.0282445823):0.0242282643);	0.1542095306	0.1023581761	0.0263949512	0.0282445823	0.0242282643	-2265.2217648355	(A:0.1708723363,D:0.0235425854,(B:0.0222100391,C:0.1218191957):0.0098163827);	0.1708723363	0.0235425854	0.0222100391	0.1218191957	0.0098163827
