file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	TN+G	-2407.99	"(A:0.2269724644,B:0.0221418712,(C:0.3095240333,D:0.0237325657):0.0211808709);"	0.2269724644	0.0221418712	0.3095240333	0.0237325657	0.0211808709	-2409.8074118603	"(A:0.2071471691,C:0.2948721873,(B:0.0294438780,D:0.0371903007):0.0196853498);"	0.2071471691	0.2948721873	0.0294438780	0.0371903007	0.0196853498	-2410.3802281102	"(A:0.2288268889,D:0.0368795349,(B:0.0290727344,C:0.3174526591):0.0012816352);"	0.2288268889	0.0368795349	0.0290727344	0.3174526591	0.0012816352
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	TN+G	-2405.69	"(A:0.2303477286,B:0.0271659058,(C:0.3281873897,D:0.0285487821):0.0120652700);"	0.2303477286	0.0271659058	0.3281873897	0.0285487821	0.0120652700	-2405.9214280309	"(A:0.2128285787,C:0.3120816353,(B:0.0310398542,D:0.0362343462):0.0164124705);"	0.2128285787	0.3120816353	0.0310398542	0.0362343462	0.0164124705	-2406.2201646969	"(A:0.2308232030,D:0.0353849625,(B:0.0292313868,C:0.3309749921):0.0031760561);"	0.2308232030	0.0353849625	0.0292313868	0.3309749921	0.0031760561
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	TN+G	-2372.04	"(A:0.2265833486,B:0.0234081094,(C:0.3208237361,D:0.0184828269):0.0090124598);"	0.2265833486	0.0234081094	0.3208237361	0.0184828269	0.0090124598	-2371.9784938427	"(A:0.2040473189,C:0.2983127591,(B:0.0267573272,D:0.0237330821):0.0214433945);"	0.2040473189	0.2983127591	0.0267573272	0.0237330821	0.0214433945	-2372.5409879570	"(A:0.2276192197,D:0.0227864754,(B:0.0242082949,C:0.3225522423):0.0040220525);"	0.2276192197	0.0227864754	0.0242082949	0.3225522423	0.0040220525
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	TN+G	-2388.57	"(A:0.2330574589,B:0.0207718954,(C:0.3292805375,D:0.0217614644):0.0155374111);"	0.2330574589	0.0207718954	0.3292805375	0.0217614644	0.0155374111	-2389.3783933927	"(A:0.2099976717,C:0.3092533083,(B:0.0257722107,D:0.0318439510):0.0219098928);"	0.2099976717	0.3092533083	0.0257722107	0.0318439510	0.0219098928	-2389.8017914611	"(A:0.2334070204,D:0.0303080810,(B:0.0216674715,C:0.3343949134):0.0061917288);"	0.2334070204	0.0303080810	0.0216674715	0.3343949134	0.0061917288
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	TN+G	-2371.88	"(A:0.2237051279,B:0.0319466140,(C:0.3330498200,D:0.0176637151):0.0043031673);"	0.2237051279	0.0319466140	0.3330498200	0.0176637151	0.0043031673	-2371.7584577425	"(A:0.2089735680,C:0.3169728515,(B:0.0336578443,D:0.0198814443):0.0137960552);"	0.2089735680	0.3169728515	0.0336578443	0.0198814443	0.0137960552	-2371.6672772954	"(A:0.2242515433,D:0.0181677066,(B:0.0274508545,C:0.3309553314):0.0083589796);"	0.2242515433	0.0181677066	0.0274508545	0.3309553314	0.0083589796
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	TN+G	-2375.75	"(A:0.2318277280,B:0.0284263858,(C:0.3296041376,D:0.0152328805):0.0134016294);"	0.2318277280	0.0284263858	0.3296041376	0.0152328805	0.0134016294	-2376.4657604540	"(A:0.2212397338,C:0.3181002416,(B:0.0337993078,D:0.0229595473):0.0109225185);"	0.2212397338	0.3181002416	0.0337993078	0.0229595473	0.0109225185	-2376.6041168214	"(A:0.2336759973,D:0.0230481038,(B:0.0339643002,C:0.3312028740):0.0000023719);"	0.2336759973	0.0230481038	0.0339643002	0.3312028740	0.0000023719
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	TN+G	-2232.86	"(A:0.2781787383,B:0.0154102684,(C:0.1566636376,D:0.0376393412):0.0148585514);"	0.2781787383	0.0154102684	0.1566636376	0.0376393412	0.0148585514	-2234.0289856160	"(A:0.2806811401,C:0.1605257079,(B:0.0267678006,D:0.0411827042):0.0000020117);"	0.2806811401	0.1605257079	0.0267678006	0.0411827042	0.0000020117	-2233.9781701550	"(A:0.2786799621,D:0.0389400880,(B:0.0259747847,C:0.1600887978):0.0029519070);"	0.2786799621	0.0389400880	0.0259747847	0.1600887978	0.0029519070
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	TN+G	-2220.24	"(A:0.2923334473,B:0.0188878399,(C:0.1578767115,D:0.0317793856):0.0180554082);"	0.2923334473	0.0188878399	0.1578767115	0.0317793856	0.0180554082	-2221.3873794272	"(A:0.2968249059,C:0.1610665199,(B:0.0338316241,D:0.0349478590):0.0000027985);"	0.2968249059	0.1610665199	0.0338316241	0.0349478590	0.0000027985	-2221.2020166919	"(A:0.2935487429,D:0.0298853065,(B:0.0323308501,C:0.1597782228):0.0064415288);"	0.2935487429	0.0298853065	0.0323308501	0.1597782228	0.0064415288
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	TN+G	-2196.73	"(A:0.2782008162,B:0.0188089651,(C:0.1660293232,D:0.0277041615):0.0045353296);"	0.2782008162	0.0188089651	0.1660293232	0.0277041615	0.0045353296	-2196.9068290038	"(A:0.2792317099,C:0.1671757175,(B:0.0225059283,D:0.0285815304):0.0000021036);"	0.2792317099	0.1671757175	0.0225059283	0.0285815304	0.0000021036	-2196.4891490828	"(A:0.2744176817,D:0.0230654928,(B:0.0201077723,C:0.1657912144):0.0077760664);"	0.2744176817	0.0230654928	0.0201077723	0.1657912144	0.0077760664
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	TN+G	-2213.09	"(A:0.2833726380,B:0.0164733778,(C:0.1649972522,D:0.0335133035):0.0086548441);"	0.2833726380	0.0164733778	0.1649972522	0.0335133035	0.0086548441	-2213.5671719903	"(A:0.2846528469,C:0.1672653144,(B:0.0229829080,D:0.0356498531):0.0000021147);"	0.2846528469	0.1672653144	0.0229829080	0.0356498531	0.0000021147	-2213.4005725824	"(A:0.2810867971,D:0.0317567208,(B:0.0215320792,C:0.1664974854):0.0052239216);"	0.2810867971	0.0317567208	0.0215320792	0.1664974854	0.0052239216
quartet011_A-Strepsiptera_B-Meloe_C-Drosophila_D-Sawfly.phy	TN+G	-2196.35	"(A:0.2826987024,B:0.0252406560,(C:0.1725491873,D:0.0287800031):0.0000027798);"	0.2826987024	0.0252406560	0.1725491873	0.0287800031	0.0000027798	-2196.3480520800	"(A:0.2826619173,C:0.1726106951,(B:0.0254043758,D:0.0287408945):0.0000029164);"	0.2826619173	0.1726106951	0.0254043758	0.0287408945	0.0000029164	-2194.7224638222	"(A:0.2738405692,D:0.0164193588,(B:0.0197198845,C:0.1696906716):0.0178477992);"	0.2738405692	0.0164193588	0.0197198845	0.1696906716	0.0178477992
quartet012_A-Strepsiptera_B-Meloe_C-Drosophila_D-Polistes.phy	TN+G	-2197.1	"(A:0.2889234426,B:0.0237247710,(C:0.1637227961,D:0.0250288874):0.0087453865);"	0.2889234426	0.0237247710	0.1637227961	0.0250288874	0.0087453865	-2197.4518612914	"(A:0.2913042104,C:0.1650235020,(B:0.0310280599,D:0.0264620476):0.0000028666);"	0.2913042104	0.1650235020	0.0310280599	0.0264620476	0.0000028666	-2197.1306231925	"(A:0.2881578381,D:0.0209232768,(B:0.0286687862,C:0.1634122491):0.0078514300);"	0.2881578381	0.0209232768	0.0286687862	0.1634122491	0.0078514300
quartet013_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Flea.phy	TN+G	-2367.37	"(A:0.2318964563,B:0.0068477361,(C:0.2977643810,D:0.0252856852):0.0155612947);"	0.2318964563	0.0068477361	0.2977643810	0.0252856852	0.0155612947	-2367.7811244588	"(A:0.1985320071,C:0.2736892980,(B:0.0113916814,D:0.0359560978):0.0291049965);"	0.1985320071	0.2736892980	0.0113916814	0.0359560978	0.0291049965	-2369.3524218391	"(A:0.2301088689,D:0.0349025657,(B:0.0105663549,C:0.3073575352):0.0023861661);"	0.2301088689	0.0349025657	0.0105663549	0.3073575352	0.0023861661
quartet014_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Scorpionfly.phy	TN+G	-2382.43	"(A:0.2331937011,B:0.0134007987,(C:0.3146975713,D:0.0339951300):0.0090874721);"	0.2331937011	0.0134007987	0.3146975713	0.0339951300	0.0090874721	-2381.8993989611	"(A:0.2055150596,C:0.2904152064,(B:0.0158773349,D:0.0400164067):0.0241081104);"	0.2055150596	0.2904152064	0.0158773349	0.0400164067	0.0241081104	-2382.4006110383	"(A:0.2296654003,D:0.0362598707,(B:0.0111997361,C:0.3188482188):0.0089681667);"	0.2296654003	0.0362598707	0.0111997361	0.3188482188	0.0089681667
quartet015_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Lacewing.phy	TN+G	-2334.03	"(A:0.2312050043,B:0.0087056388,(C:0.3095422457,D:0.0211455773):0.0055190467);"	0.2312050043	0.0087056388	0.3095422457	0.0211455773	0.0055190467	-2332.6297042646	"(A:0.1965437704,C:0.2769013077,(B:0.0101841060,D:0.0247826875):0.0306483213);"	0.1965437704	0.2769013077	0.0101841060	0.0247826875	0.0306483213	-2333.6733389766	"(A:0.2279125362,D:0.0215427999,(B:0.0052787225,C:0.3126011355):0.0084939114);"	0.2279125362	0.0215427999	0.0052787225	0.3126011355	0.0084939114
quartet016_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Antlion.phy	TN+G	-2352.14	"(A:0.2348380826,B:0.0064605035,(C:0.3104879572,D:0.0265483381):0.0090676004);"	0.2348380826	0.0064605035	0.3104879572	0.0265483381	0.0090676004	-2351.2413329380	"(A:0.1994306303,C:0.2801349060,(B:0.0086274230,D:0.0330297124):0.0308834819);"	0.1994306303	0.2801349060	0.0086274230	0.0330297124	0.0308834819	-2352.5561794606	"(A:0.2310050087,D:0.0300457446,(B:0.0050337439,C:0.3166174579):0.0069800222);"	0.2310050087	0.0300457446	0.0050337439	0.3166174579	0.0069800222
quartet017_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Sawfly.phy	TN+G	-2318.8	"(A:0.2175078446,B:0.0140747518,(C:0.2984026823,D:0.0158735288):0.0001701129);"	0.2175078446	0.0140747518	0.2984026823	0.0158735288	0.0001701129	-2316.3822859059	"(A:0.1826379226,C:0.2628744698,(B:0.0139992472,D:0.0157913666):0.0315728390);"	0.1826379226	0.2628744698	0.0139992472	0.0157913666	0.0315728390	-2317.3912691200	"(A:0.2149773567,D:0.0122496865,(B:0.0072603063,C:0.2962898874):0.0105627321);"	0.2149773567	0.0122496865	0.0072603063	0.2962898874	0.0105627321
quartet018_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Polistes.phy	TN+G	-2341.01	"(A:0.2314094333,B:0.0131260530,(C:0.3119652509,D:0.0163831350):0.0113516944);"	0.2314094333	0.0131260530	0.3119652509	0.0163831350	0.0113516944	-2340.8219580335	"(A:0.2023641058,C:0.2852011376,(B:0.0164933741,D:0.0239697215):0.0260243002);"	0.2023641058	0.2852011376	0.0164933741	0.0239697215	0.0260243002	-2341.6815244458	"(A:0.2301018906,D:0.0217664513,(B:0.0124543327,C:0.3151450423):0.0066596185);"	0.2301018906	0.0217664513	0.0124543327	0.3151450423	0.0066596185
quartet019_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Flea.phy	TN+G	-2204.99	"(A:0.2902718712,B:0.0000022899,(C:0.1796653431,D:0.0216638360):0.0264511044);"	0.2902718712	0.0000022899	0.1796653431	0.0216638360	0.0264511044	-2208.3777868053	"(A:0.2914629668,C:0.1854649258,(B:0.0195756584,D:0.0287421206):0.0000022690);"	0.2914629668	0.1854649258	0.0195756584	0.0287421206	0.0000022690	-2208.3780148888	"(A:0.2915289691,D:0.0288494548,(B:0.0194344564,C:0.1855963602):0.0000020340);"	0.2915289691	0.0288494548	0.0194344564	0.1855963602	0.0000020340
quartet020_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Scorpionfly.phy	TN+G	-2207.53	"(A:0.3043547710,B:0.0025200366,(C:0.1769681646,D:0.0178871629):0.0365084460);"	0.3043547710	0.0025200366	0.1769681646	0.0178871629	0.0365084460	-2211.2282169629	"(A:0.3092514396,C:0.1810415930,(B:0.0329135696,D:0.0241875287):0.0000021386);"	0.3092514396	0.1810415930	0.0329135696	0.0241875287	0.0000021386	-2211.2283158075	"(A:0.3092692076,D:0.0242489138,(B:0.0328067252,C:0.1811180471):0.0000024807);"	0.3092692076	0.0242489138	0.0328067252	0.1811180471	0.0000024807
quartet021_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Lacewing.phy	TN+G	-2170.3	"(A:0.2976316048,B:0.0045387825,(C:0.1905936092,D:0.0146707757):0.0160477966);"	0.2976316048	0.0045387825	0.1905936092	0.0146707757	0.0160477966	-2171.7686392428	"(A:0.2982910760,C:0.1934042423,(B:0.0173858612,D:0.0179355565):0.0000024831);"	0.2982910760	0.1934042423	0.0173858612	0.0179355565	0.0000024831	-2171.7687083681	"(A:0.2983477174,D:0.0180201380,(B:0.0172598145,C:0.1935021245):0.0000020340);"	0.2983477174	0.0180201380	0.0172598145	0.1935021245	0.0000020340
quartet022_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Antlion.phy	TN+G	-2187.67	"(A:0.3082740741,B:0.0000025108,(C:0.1930118974,D:0.0199749271):0.0224323831);"	0.3082740741	0.0000025108	0.1930118974	0.0199749271	0.0224323831	-2190.0602368913	"(A:0.3081784231,C:0.1984080300,(B:0.0158725302,D:0.0265559819):0.0000024495);"	0.3081784231	0.1984080300	0.0158725302	0.0265559819	0.0000024495	-2190.0602340350	"(A:0.3082685282,D:0.0268166725,(B:0.0155376519,C:0.1986961981):0.0000021827);"	0.3082685282	0.0268166725	0.0155376519	0.1986961981	0.0000021827
quartet023_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Sawfly.phy	TN+G	-2155.75	"(A:0.2825502911,B:0.0134404427,(C:0.1922453171,D:0.0117225030):0.0048524702);"	0.2825502911	0.0134404427	0.1922453171	0.0117225030	0.0048524702	-2155.9452625532	"(A:0.2832300396,C:0.1930568649,(B:0.0174956420,D:0.0125332823):0.0000023509);"	0.2832300396	0.1930568649	0.0174956420	0.0125332823	0.0000023509	-2155.8471837791	"(A:0.2819830320,D:0.0107040653,(B:0.0162786994,C:0.1923376223):0.0030758932);"	0.2819830320	0.0107040653	0.0162786994	0.1923376223	0.0030758932
