file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet001_A-Strepsiptera_B-Meloe_C-Aedes_D-Flea.phy	TN	-2443.12	(A:0.1664631194,B:0.0244637515,(C:0.2120140322,D:0.0235420973):0.0169217580);	0.1664631194	0.0244637515	0.2120140322	0.0235420973	0.0169217580	-2434.0305426472	(A:0.1345901148,C:0.1841013553,(B:0.0308152599,D:0.0323229091):0.0389475613);	0.1345901148	0.1841013553	0.0308152599	0.0323229091	0.0389475613	-2448.2970521307	(A:0.1678266661,D:0.0306651459,(B:0.0271730485,C:0.2145333323):0.0074263124);	0.1678266661	0.0306651459	0.0271730485	0.2145333323	0.0074263124
quartet002_A-Strepsiptera_B-Meloe_C-Aedes_D-Scorpionfly.phy	TN	-2445.3	(A:0.1654692610,B:0.0268702352,(C:0.2154964707,D:0.0269375562):0.0117261227);	0.1654692610	0.0268702352	0.2154964707	0.0269375562	0.0117261227	-2432.3493947025	(A:0.1324725515,C:0.1857187387,(B:0.0306017823,D:0.0327655535):0.0385297026);	0.1324725515	0.1857187387	0.0306017823	0.0327655535	0.0385297026	-2446.2990893672	(A:0.1654043516,D:0.0303622073,(B:0.0266537898,C:0.2160906070):0.0086033046);	0.1654043516	0.0303622073	0.0266537898	0.2160906070	0.0086033046
quartet003_A-Strepsiptera_B-Meloe_C-Aedes_D-Lacewing.phy	TN	-2407.53	(A:0.1687259852,B:0.0226250796,(C:0.2198150922,D:0.0174573397):0.0100015622);	0.1687259852	0.0226250796	0.2198150922	0.0174573397	0.0100015622	-2393.5386975129	(A:0.1331732455,C:0.1870451173,(B:0.0266350786,D:0.0221707603):0.0415819593);	0.1331732455	0.1870451173	0.0266350786	0.0221707603	0.0415819593	-2408.8842843951	(A:0.1698322498,D:0.0206442868,(B:0.0219621634,C:0.2199831060):0.0077126806);	0.1698322498	0.0206442868	0.0219621634	0.2199831060	0.0077126806
quartet004_A-Strepsiptera_B-Meloe_C-Aedes_D-Antlion.phy	TN	-2426.65	(A:0.1685147171,B:0.0223769860,(C:0.2192416618,D:0.0204168445):0.0138358541);	0.1685147171	0.0223769860	0.2192416618	0.0204168445	0.0138358541	-2414.1084942497	(A:0.1325077711,C:0.1873145086,(B:0.0270978684,D:0.0281451561):0.0426592900);	0.1325077711	0.1873145086	0.0270978684	0.0281451561	0.0426592900	-2429.6433656080	(A:0.1693726669,D:0.0260295517,(B:0.0215110231,C:0.2211280852):0.0094238350);	0.1693726669	0.0260295517	0.0215110231	0.2211280852	0.0094238350
quartet005_A-Strepsiptera_B-Meloe_C-Aedes_D-Sawfly.phy	TN	-2409.49	(A:0.1638445480,B:0.0279764230,(C:0.2211547736,D:0.0175021665):0.0078464419);	0.1638445480	0.0279764230	0.2211547736	0.0175021665	0.0078464419	-2395.7826281972	(A:0.1306603059,C:0.1900622154,(B:0.0312548399,D:0.0203909797):0.0394874279);	0.1306603059	0.1900622154	0.0312548399	0.0203909797	0.0394874279	-2408.5025358399	(A:0.1649102652,D:0.0185263532,(B:0.0240227846,C:0.2192615283):0.0108481008);	0.1649102652	0.0185263532	0.0240227846	0.2192615283	0.0108481008
quartet006_A-Strepsiptera_B-Meloe_C-Aedes_D-Polistes.phy	TN	-2413.66	(A:0.1659424223,B:0.0264044539,(C:0.2156945394,D:0.0173657204):0.0122456518);	0.1659424223	0.0264044539	0.2156945394	0.0173657204	0.0122456518	-2402.1346222243	(A:0.1340679205,C:0.1859535115,(B:0.0312171673,D:0.0231864298):0.0387706169);	0.1340679205	0.1859535115	0.0312171673	0.0231864298	0.0387706169	-2416.6541624665	(A:0.1680543773,D:0.0226406604,(B:0.0281948386,C:0.2167500248):0.0057381781);	0.1680543773	0.0226406604	0.0281948386	0.2167500248	0.0057381781
quartet007_A-Strepsiptera_B-Meloe_C-Drosophila_D-Flea.phy	TN	-2272.15	(A:0.1707379614,B:0.0215958566,(C:0.1174483104,D:0.0297110404):0.0121946689);	0.1707379614	0.0215958566	0.1174483104	0.0297110404	0.0121946689	-2269.1779836378	(A:0.1558088538,C:0.1011488130,(B:0.0291256161,D:0.0331876677):0.0218501747);	0.1558088538	0.1011488130	0.0291256161	0.0331876677	0.0218501747	-2273.2084258559	(A:0.1697337751,D:0.0281788731,(B:0.0252725620,C:0.1181287564):0.0099173740);	0.1697337751	0.0281788731	0.0252725620	0.1181287564	0.0099173740
quartet008_A-Strepsiptera_B-Meloe_C-Drosophila_D-Scorpionfly.phy	TN	-2264.78	(A:0.1686753726,B:0.0246074906,(C:0.1149664221,D:0.0258517050):0.0138543345);	0.1686753726	0.0246074906	0.1149664221	0.0258517050	0.0138543345	-2262.8559681871	(A:0.1556318370,C:0.0996548643,(B:0.0329843904,D:0.0296788602):0.0206814538);	0.1556318370	0.0996548643	0.0329843904	0.0296788602	0.0206814538	-2266.3457041977	(A:0.1690742151,D:0.0248286708,(B:0.0292413752,C:0.1152229873):0.0101146787);	0.1690742151	0.0248286708	0.0292413752	0.1152229873	0.0101146787
quartet009_A-Strepsiptera_B-Meloe_C-Drosophila_D-Lacewing.phy	TN	-2235.9	(A:0.1722037772,B:0.0200150171,(C:0.1234326258,D:0.0213379957):0.0073775558);	0.1722037772	0.0200150171	0.1234326258	0.0213379957	0.0073775558	-2229.9363306072	(A:0.1545646356,C:0.1040198165,(B:0.0248173825,D:0.0233313104):0.0239172506);	0.1545646356	0.1040198165	0.0248173825	0.0233313104	0.0239172506	-2234.4121886998	(A:0.1714416224,D:0.0185837929,(B:0.0204195854,C:0.1227419336):0.0098146458);	0.1714416224	0.0185837929	0.0204195854	0.1227419336	0.0098146458
quartet010_A-Strepsiptera_B-Meloe_C-Drosophila_D-Antlion.phy	TN	-2252.96	(A:0.1715779674,B:0.0203930062,(C:0.1217371529,D:0.0252909909):0.0096501920);	0.1715779674	0.0203930062	0.1217371529	0.0252909909	0.0096501920	-2248.2117477797	(A:0.1547177164,C:0.1034379399,(B:0.0260623950,D:0.0284781471):0.0235644756);	0.1547177164	0.1034379399	0.0260623950	0.0284781471	0.0235644756	-2253.0663926005	(A:0.1709024378,D:0.0238843108,(B:0.0218079815,C:0.1222716944):0.0096983067);	0.1709024378	0.0238843108	0.0218079815	0.1222716944	0.0096983067
quartet011_A-Strepsiptera_B-Meloe_C-Drosophila_D-Sawfly.phy	TN	-2241.19	(A:0.1692621390,B:0.0232697584,(C:0.1251118026,D:0.0220259205):0.0061989578);	0.1692621390	0.0232697584	0.1251118026	0.0220259205	0.0061989578	-2235.2688706466	(A:0.1527821243,C:0.1070010104,(B:0.0270161320,D:0.0238247682):0.0223738257);	0.1527821243	0.1070010104	0.0270161320	0.0238247682	0.0223738257	-2235.1867325306	(A:0.1670593001,D:0.0161586042,(B:0.0204472533,C:0.1226503186):0.0149683835);	0.1670593001	0.0161586042	0.0204472533	0.1226503186	0.0149683835
quartet012_A-Strepsiptera_B-Meloe_C-Drosophila_D-Polistes.phy	TN	-2240.05	(A:0.1697138378,B:0.0233477483,(C:0.1190032138,D:0.0198469906):0.0111335252);	0.1697138378	0.0233477483	0.1190032138	0.0198469906	0.0111335252	-2236.8875599076	(A:0.1558157985,C:0.1019029271,(B:0.0308305184,D:0.0227501040):0.0218001095);	0.1558157985	0.1019029271	0.0308305184	0.0227501040	0.0218001095	-2241.2899626480	(A:0.1718521965,D:0.0183560071,(B:0.0265035475,C:0.1187426151):0.0096450949);	0.1718521965	0.0183560071	0.0265035475	0.1187426151	0.0096450949
quartet013_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Flea.phy	TN	-2397.26	(A:0.1757648522,B:0.0129436238,(C:0.2139931488,D:0.0215631977):0.0119592169);	0.1757648522	0.0129436238	0.2139931488	0.0215631977	0.0119592169	-2383.7603576705	(A:0.1373990736,C:0.1813983586,(B:0.0168247999,D:0.0288692407):0.0418373020);	0.1373990736	0.1813983586	0.0168247999	0.0288692407	0.0418373020	-2400.7746645851	(A:0.1746114301,D:0.0262211339,(B:0.0145300586,C:0.2177024566):0.0057860165);	0.1746114301	0.0262211339	0.0145300586	0.2177024566	0.0057860165
quartet014_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Scorpionfly.phy	TN	-2416.59	(A:0.1719266008,B:0.0179200580,(C:0.2154096975,D:0.0274192218):0.0092953801);	0.1719266008	0.0179200580	0.2154096975	0.0274192218	0.0092953801	-2401.5860390225	(A:0.1354294126,C:0.1832886956,(B:0.0203497064,D:0.0330837204):0.0397910370);	0.1354294126	0.1832886956	0.0203497064	0.0330837204	0.0397910370	-2416.0710473179	(A:0.1694949120,D:0.0284006172,(B:0.0160790015,C:0.2170739194):0.0100259508);	0.1694949120	0.0284006172	0.0160790015	0.2170739194	0.0100259508
quartet015_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Lacewing.phy	TN	-2364.81	(A:0.1768997353,B:0.0119478171,(C:0.2213089874,D:0.0164582793):0.0063745305);	0.1768997353	0.0119478171	0.2213089874	0.0164582793	0.0063745305	-2347.3413872162	(A:0.1359118682,C:0.1846454260,(B:0.0135960437,D:0.0207108180):0.0441481338);	0.1359118682	0.1846454260	0.0135960437	0.0207108180	0.0441481338	-2364.2166462567	(A:0.1751894210,D:0.0173977350,(B:0.0092157491,C:0.2229324617):0.0081220594);	0.1751894210	0.0173977350	0.0092157491	0.2229324617	0.0081220594
quartet016_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Antlion.phy	TN	-2383.26	(A:0.1763738886,B:0.0122440541,(C:0.2196374270,D:0.0205298484):0.0083709431);	0.1763738886	0.0122440541	0.2196374270	0.0205298484	0.0083709431	-2366.9178021847	(A:0.1357887503,C:0.1844174015,(B:0.0140844017,D:0.0264794057):0.0438470926);	0.1357887503	0.1844174015	0.0140844017	0.0264794057	0.0438470926	-2384.1505350808	(A:0.1745000026,D:0.0231645975,(B:0.0099606900,C:0.2229140108):0.0079853748);	0.1745000026	0.0231645975	0.0099606900	0.2229140108	0.0079853748
quartet017_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Sawfly.phy	TN	-2346.4	(A:0.1742530412,B:0.0136464434,(C:0.2233898209,D:0.0132675047):0.0029084042);	0.1742530412	0.0136464434	0.2233898209	0.0132675047	0.0029084042	-2328.5228484153	(A:0.1343894857,C:0.1864683046,(B:0.0144831751,D:0.0149306280):0.0428289588);	0.1343894857	0.1864683046	0.0144831751	0.0149306280	0.0428289588	-2343.3379586557	(A:0.1727212765,D:0.0112115333,(B:0.0089562982,C:0.2225235957):0.0095541519);	0.1727212765	0.0112115333	0.0089562982	0.2225235957	0.0095541519
quartet018_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Polistes.phy	TN	-2372.88	(A:0.1737333763,B:0.0151877891,(C:0.2173940287,D:0.0149484664):0.0098726466);	0.1737333763	0.0151877891	0.2173940287	0.0149484664	0.0098726466	-2358.4370175515	(A:0.1361276319,C:0.1838861460,(B:0.0181294999,D:0.0213846614):0.0417514187);	0.1361276319	0.1838861460	0.0181294999	0.0213846614	0.0417514187	-2374.4373395072	(A:0.1734843643,D:0.0182937030,(B:0.0137572896,C:0.2197521647):0.0080559725);	0.1734843643	0.0182937030	0.0137572896	0.2197521647	0.0080559725
quartet019_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Flea.phy	TN	-2242.95	(A:0.1748825557,B:0.0152163005,(C:0.1298783247,D:0.0181681303):0.0130077449);	0.1748825557	0.0152163005	0.1298783247	0.0181681303	0.0130077449	-2235.3286026647	(A:0.1513029313,C:0.1047957501,(B:0.0231348509,D:0.0224844239):0.0302101551);	0.1513029313	0.1047957501	0.0231348509	0.0224844239	0.0302101551	-2248.3533101464	(A:0.1768559003,D:0.0218809079,(B:0.0224538469,C:0.1319251926):0.0019582990);	0.1768559003	0.0218809079	0.0224538469	0.1319251926	0.0019582990
quartet020_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Scorpionfly.phy	TN	-2251.15	(A:0.1709161728,B:0.0203005070,(C:0.1248193679,D:0.0165037019):0.0179379103);	0.1709161728	0.0203005070	0.1248193679	0.0165037019	0.0179379103	-2247.9861164003	(A:0.1524646677,C:0.1030810381,(B:0.0311319034,D:0.0223347900):0.0272432300);	0.1524646677	0.1030810381	0.0311319034	0.0223347900	0.0272432300	-2258.2819259666	(A:0.1742509936,D:0.0207229301,(B:0.0294304706,C:0.1262857779):0.0045719534);	0.1742509936	0.0207229301	0.0294304706	0.1262857779	0.0045719534
